threshold,row_precision,row_recall,row_f1,row_f0_5,false_positive_rate,tp,fp,fn,tn,total_fault_events,detected_fault_events,event_recall,median_lead_time_hours,false_positive_episodes,normal_count,manufacturer,configuration_type
0.6499999999999999,0.525,0.6666666666666666,0.5874125874125874,0.5483028720626631,0.2835820895522388,42,38,21,96,4,4,1.0,67.85,4,134,manufacturer 1,SH + DHW
0.6599999999999999,0.5189873417721519,0.6507936507936508,0.5774647887323944,0.5408970976253298,0.2835820895522388,41,38,22,96,4,4,1.0,67.85,4,134,manufacturer 1,SH + DHW
0.6699999999999999,0.5256410256410257,0.6507936507936508,0.5815602836879433,0.5466666666666666,0.27611940298507465,41,37,22,97,4,4,1.0,67.85,5,134,manufacturer 1,SH + DHW
0.6799999999999999,0.5194805194805194,0.6349206349206349,0.5714285714285714,0.5390835579514824,0.27611940298507465,40,37,23,97,4,4,1.0,67.85,5,134,manufacturer 1,SH + DHW
0.69,0.5194805194805194,0.6349206349206349,0.5714285714285714,0.5390835579514824,0.27611940298507465,40,37,23,97,4,4,1.0,67.85,5,134,manufacturer 1,SH + DHW
0.7,0.5194805194805194,0.6349206349206349,0.5714285714285714,0.5390835579514824,0.27611940298507465,40,37,23,97,4,4,1.0,67.85,5,134,manufacturer 1,SH + DHW
0.71,0.5,0.5714285714285714,0.5333333333333333,0.5128205128205128,0.26865671641791045,36,36,27,98,4,4,1.0,67.85,5,134,manufacturer 1,SH + DHW
0.72,0.5142857142857142,0.5714285714285714,0.5413533834586466,0.5247813411078717,0.2537313432835821,36,34,27,100,4,4,1.0,67.85,4,134,manufacturer 1,SH + DHW
0.73,0.5072463768115942,0.5555555555555556,0.5303030303030303,0.5162241887905604,0.2537313432835821,35,34,28,100,4,4,1.0,67.85,4,134,manufacturer 1,SH + DHW
0.74,0.5072463768115942,0.5555555555555556,0.5303030303030303,0.5162241887905604,0.2537313432835821,35,34,28,100,4,4,1.0,67.85,4,134,manufacturer 1,SH + DHW
0.7499999999999999,0.4925373134328358,0.5238095238095238,0.5076923076923077,0.4984894259818731,0.2537313432835821,33,34,30,100,4,4,1.0,67.85,4,134,manufacturer 1,SH + DHW
0.7599999999999999,0.4603174603174603,0.4603174603174603,0.4603174603174603,0.4603174603174603,0.2537313432835821,29,34,34,100,4,4,1.0,67.85,4,134,manufacturer 1,SH + DHW
0.7699999999999999,0.4666666666666667,0.4444444444444444,0.45528455284552843,0.46204620462046203,0.23880597014925373,28,32,35,102,4,4,1.0,67.85,4,134,manufacturer 1,SH + DHW
0.7799999999999999,0.4666666666666667,0.4444444444444444,0.45528455284552843,0.46204620462046203,0.23880597014925373,28,32,35,102,4,4,1.0,67.85,4,134,manufacturer 1,SH + DHW
0.7899999999999999,0.45614035087719296,0.4126984126984127,0.43333333333333335,0.44673539518900346,0.23134328358208955,26,31,37,103,4,4,1.0,67.85,4,134,manufacturer 1,SH + DHW
0.7999999999999999,0.44642857142857145,0.3968253968253968,0.42016806722689076,0.4355400696864111,0.23134328358208955,25,31,38,103,4,4,1.0,67.85,4,134,manufacturer 1,SH + DHW
0.8099999999999999,0.4339622641509434,0.36507936507936506,0.39655172413793105,0.41818181818181815,0.22388059701492538,23,30,40,104,4,4,1.0,67.85,4,134,manufacturer 1,SH + DHW
0.82,0.4583333333333333,0.3492063492063492,0.39639639639639634,0.43137254901960786,0.19402985074626866,22,26,41,108,4,4,1.0,67.85,5,134,manufacturer 1,SH + DHW
0.83,0.45652173913043476,0.3333333333333333,0.38532110091743116,0.4251012145748988,0.1865671641791045,21,25,42,109,4,4,1.0,67.85,5,134,manufacturer 1,SH + DHW
0.84,0.4772727272727273,0.3333333333333333,0.39252336448598135,0.4393305439330544,0.17164179104477612,21,23,42,111,4,4,1.0,67.85,5,134,manufacturer 1,SH + DHW
0.8499999999999999,0.5121951219512195,0.3333333333333333,0.40384615384615385,0.46255506607929514,0.14925373134328357,21,20,42,114,4,4,1.0,67.85,4,134,manufacturer 1,SH + DHW
0.8599999999999999,0.4722222222222222,0.2698412698412698,0.34343434343434337,0.4106280193236715,0.1417910447761194,17,19,46,115,4,4,1.0,67.85,4,134,manufacturer 1,SH + DHW
0.8699999999999999,0.40625,0.20634920634920634,0.2736842105263158,0.3403141361256545,0.1417910447761194,13,19,50,115,4,4,1.0,67.85,4,134,manufacturer 1,SH + DHW
0.8799999999999999,0.41379310344827586,0.19047619047619047,0.26086956521739135,0.33519553072625696,0.12686567164179105,12,17,51,117,4,3,0.75,68.5,4,134,manufacturer 1,SH + DHW
0.8899999999999999,0.36,0.14285714285714285,0.2045454545454545,0.27607361963190186,0.11940298507462686,9,16,54,118,4,3,0.75,68.5,5,134,manufacturer 1,SH + DHW
0.8999999999999999,0.375,0.14285714285714285,0.20689655172413796,0.2830188679245283,0.11194029850746269,9,15,54,119,4,3,0.75,68.5,5,134,manufacturer 1,SH + DHW
0.9099999999999999,0.35,0.1111111111111111,0.1686746987951807,0.24475524475524477,0.09701492537313433,7,13,56,121,4,3,0.75,68.5,4,134,manufacturer 1,SH + DHW
0.9199999999999999,0.4117647058823529,0.1111111111111111,0.17500000000000002,0.26717557251908397,0.07462686567164178,7,10,56,124,4,3,0.75,68.5,5,134,manufacturer 1,SH + DHW
0.9299999999999999,0.4666666666666667,0.1111111111111111,0.1794871794871795,0.2845528455284553,0.05970149253731343,7,8,56,126,4,3,0.75,68.5,4,134,manufacturer 1,SH + DHW
0.94,0.5454545454545454,0.09523809523809523,0.16216216216216217,0.2803738317757009,0.03731343283582089,6,5,57,129,4,3,0.75,68.5,2,134,manufacturer 1,SH + DHW
0.95,0.6666666666666666,0.06349206349206349,0.11594202898550725,0.22988505747126436,0.014925373134328358,4,2,59,132,4,3,0.75,68.5,1,134,manufacturer 1,SH + DHW
0.05,0.08333333333333333,1.0,0.15384615384615385,0.10204081632653061,0.75,3,33,0,11,1,1,1.0,13.995277777777778,3,44,manufacturer 1,SH + DHW with sub-circuits
0.06,0.08333333333333333,1.0,0.15384615384615385,0.10204081632653061,0.75,3,33,0,11,1,1,1.0,13.995277777777778,3,44,manufacturer 1,SH + DHW with sub-circuits
0.07,0.08333333333333333,1.0,0.15384615384615385,0.10204081632653061,0.75,3,33,0,11,1,1,1.0,13.995277777777778,3,44,manufacturer 1,SH + DHW with sub-circuits
0.08,0.08333333333333333,1.0,0.15384615384615385,0.10204081632653061,0.75,3,33,0,11,1,1,1.0,13.995277777777778,3,44,manufacturer 1,SH + DHW with sub-circuits
0.09,0.08333333333333333,1.0,0.15384615384615385,0.10204081632653061,0.75,3,33,0,11,1,1,1.0,13.995277777777778,3,44,manufacturer 1,SH + DHW with sub-circuits
0.09999999999999999,0.08571428571428572,1.0,0.15789473684210528,0.1048951048951049,0.7272727272727273,3,32,0,12,1,1,1.0,13.995277777777778,3,44,manufacturer 1,SH + DHW with sub-circuits
0.10999999999999999,0.09375,1.0,0.17142857142857143,0.11450381679389313,0.6590909090909091,3,29,0,15,1,1,1.0,13.995277777777778,3,44,manufacturer 1,SH + DHW with sub-circuits
0.12,0.1,1.0,0.18181818181818182,0.12195121951219512,0.6136363636363636,3,27,0,17,1,1,1.0,13.995277777777778,2,44,manufacturer 1,SH + DHW with sub-circuits
0.13,0.1,1.0,0.18181818181818182,0.12195121951219512,0.6136363636363636,3,27,0,17,1,1,1.0,13.995277777777778,2,44,manufacturer 1,SH + DHW with sub-circuits
