threshold,row_precision,row_recall,row_f1,row_f0_5,false_positive_rate,tp,fp,fn,tn,total_fault_events,detected_fault_events,event_recall,median_lead_time_hours,false_positive_episodes,normal_count
0.4099999999999999,0.5393258426966292,0.6713286713286714,0.5981308411214954,0.5614035087719298,0.2847222222222222,96,82,47,206,11,11,1.0,67.2,12,288
0.41999999999999993,0.5397727272727273,0.6643356643356644,0.5956112852664577,0.5608028335301063,0.28125,95,81,48,207,11,11,1.0,67.2,12,288
0.42999999999999994,0.5609756097560976,0.6433566433566433,0.5993485342019544,0.5757196495619524,0.25,92,72,51,216,11,11,1.0,67.2,10,288
0.43999999999999995,0.5576923076923077,0.6083916083916084,0.5819397993311036,0.5671447196870926,0.23958333333333334,87,69,56,219,11,11,1.0,67.2,10,288
0.4499999999999999,0.5657894736842105,0.6013986013986014,0.5830508474576271,0.5725699067909454,0.22916666666666666,86,66,57,222,11,11,1.0,67.2,10,288
0.4599999999999999,0.5657894736842105,0.6013986013986014,0.5830508474576271,0.5725699067909454,0.22916666666666666,86,66,57,222,11,11,1.0,67.2,10,288
0.4699999999999999,0.5666666666666667,0.5944055944055944,0.5802047781569966,0.5720053835800808,0.22569444444444445,85,65,58,223,11,10,0.9090909090909091,67.6,10,288
0.4799999999999999,0.5753424657534246,0.5874125874125874,0.5813148788927335,0.5777166437414031,0.2152777777777778,84,62,59,226,11,10,0.9090909090909091,67.6,9,288
0.48999999999999994,0.5957446808510638,0.5874125874125874,0.5915492957746478,0.594059405940594,0.19791666666666666,84,57,59,231,11,10,0.9090909090909091,67.6,8,288
0.49999999999999994,0.5957446808510638,0.5874125874125874,0.5915492957746478,0.594059405940594,0.19791666666666666,84,57,59,231,11,10,0.9090909090909091,67.6,8,288
0.5099999999999999,0.5957446808510638,0.5874125874125874,0.5915492957746478,0.594059405940594,0.19791666666666666,84,57,59,231,11,10,0.9090909090909091,67.6,8,288
0.5199999999999999,0.5971223021582733,0.5804195804195804,0.5886524822695036,0.5937052932761088,0.19444444444444445,83,56,60,232,11,10,0.9090909090909091,67.6,7,288
0.5299999999999999,0.5971223021582733,0.5804195804195804,0.5886524822695036,0.5937052932761088,0.19444444444444445,83,56,60,232,11,10,0.9090909090909091,67.6,7,288
0.5399999999999999,0.5971223021582733,0.5804195804195804,0.5886524822695036,0.5937052932761088,0.19444444444444445,83,56,60,232,11,10,0.9090909090909091,67.6,7,288
0.5499999999999999,0.6014492753623188,0.5804195804195804,0.5907473309608541,0.5971223021582733,0.1909722222222222,83,55,60,233,11,10,0.9090909090909091,67.6,7,288
0.5599999999999999,0.6148148148148148,0.5804195804195804,0.5971223021582734,0.6076134699853587,0.18055555555555555,83,52,60,236,11,10,0.9090909090909091,67.6,7,288
0.57,0.6335877862595419,0.5804195804195804,0.6058394160583942,0.6221889055472264,0.16666666666666666,83,48,60,240,11,10,0.9090909090909091,67.6,7,288
0.58,0.6335877862595419,0.5804195804195804,0.6058394160583942,0.6221889055472264,0.16666666666666666,83,48,60,240,11,10,0.9090909090909091,67.6,7,288
0.59,0.6377952755905512,0.5664335664335665,0.6,0.6221198156682027,0.1597222222222222,81,46,62,242,11,10,0.9090909090909091,67.6,8,288
0.6,0.6377952755905512,0.5664335664335665,0.6,0.6221198156682027,0.1597222222222222,81,46,62,242,11,10,0.9090909090909091,67.6,8,288
0.61,0.632,0.5524475524475524,0.5895522388059701,0.614307931570762,0.1597222222222222,79,46,64,242,11,10,0.9090909090909091,67.6,8,288
0.62,0.6370967741935484,0.5524475524475524,0.5917602996254681,0.6181533646322379,0.15625,79,45,64,243,11,10,0.9090909090909091,67.6,7,288
0.63,0.6475409836065574,0.5524475524475524,0.5962264150943396,0.6259904912836767,0.14930555555555555,79,43,64,245,11,10,0.9090909090909091,67.6,5,288
0.6399999999999999,0.6528925619834711,0.5524475524475524,0.5984848484848485,0.6299840510366826,0.14583333333333334,79,42,64,246,11,10,0.9090909090909091,67.6,5,288
0.6499999999999999,0.6724137931034483,0.5454545454545454,0.6023166023166022,0.642504118616145,0.13194444444444445,78,38,65,250,11,10,0.9090909090909091,67.6,4,288
0.6599999999999999,0.6695652173913044,0.5384615384615384,0.5968992248062016,0.6384742951907131,0.13194444444444445,77,38,66,250,11,10,0.9090909090909091,67.6,4,288
0.6699999999999999,0.6754385964912281,0.5384615384615384,0.5992217898832685,0.6427378964941569,0.1284722222222222,77,37,66,251,11,10,0.9090909090909091,67.6,5,288
0.6799999999999999,0.6696428571428571,0.5244755244755245,0.5882352941176471,0.6345177664974619,0.1284722222222222,75,37,68,251,11,10,0.9090909090909091,67.6,5,288
0.69,0.6696428571428571,0.5244755244755245,0.5882352941176471,0.6345177664974619,0.1284722222222222,75,37,68,251,11,10,0.9090909090909091,67.6,5,288
0.7,0.6666666666666666,0.5174825174825175,0.5826771653543308,0.6303236797274276,0.1284722222222222,74,37,69,251,11,10,0.9090909090909091,67.6,5,288
0.71,0.6571428571428571,0.4825174825174825,0.5564516129032259,0.6127886323268206,0.125,69,36,74,252,11,10,0.9090909090909091,67.6,5,288
0.72,0.6633663366336634,0.46853146853146854,0.5491803278688525,0.6124314442413162,0.11805555555555555,67,34,76,254,11,9,0.8181818181818182,68.0,4,288
