feature,category,importance,missing_rate,zero_rate,unique_count,min,median,max,target_corr,causal_requirement
day_of_week,context_or_other,4.0,0.0,0.15029635901778154,7,0.0,3.0,6.0,0.0014935123662768422,must be computed using only data available at or before window_end
p_net_return_temperature__first,context_or_other,4.0,0.0,0.0,479,11.0,50.0,74.0,-0.08191770546380274,must be computed using only data available at or before window_end
p_net_supply_temperature__first,context_or_other,4.0,0.0,0.0,485,10.0,90.0,110.02,0.029344099006488523,must be computed using only data available at or before window_end
s_dhw_lower_storage_temperature__first,context_or_other,4.0,0.0,0.0,655,7.7,42.2,70.0,-0.06053918473026726,must be computed using only data available at or before window_end
s_dhw_supply_temperature__first,context_or_other,4.0,0.0,0.0,362,9.58,60.9,83.16,-0.09460078704423285,must be computed using only data available at or before window_end
outdoor_temperature__mean,sensor_window_stat,4.0,0.0,0.0,2195,-5.966666666666667,8.405972222222223,30.747222222222224,-0.10906232527090952,must be computed using only data available at or before window_end
p_net_meter_flow__std,sensor_window_stat,4.0,0.0,0.00846740050804403,2336,0.0,955.643305155153,2098785.3441061857,0.14021747105622423,must be computed using only data available at or before window_end
p_net_supply_temperature__min,sensor_window_stat,4.0,0.0,0.0,530,10.0,88.0,109.44,-0.018519515154179843,must be computed using only data available at or before window_end
s_hc1_supply_temperature_setpoint__last,sensor_window_stat,4.0,0.0,0.0,865,10.0,59.0,90.0,0.10243546158505079,must be computed using only data available at or before window_end
s_hc1_supply_temperature_setpoint__mean,sensor_window_stat,4.0,0.0,0.0,1841,10.0,58.87222222222223,88.99444444444445,0.10236710362283157,must be computed using only data available at or before window_end
s_hc1_supply_temperature_setpoint__min,sensor_window_stat,4.0,0.0,0.0,665,10.0,54.0,85.4,0.14809727020964322,must be computed using only data available at or before window_end
hc1_supply_temperature_gap__last__roll24h_mean,causal_temporal,3.0,0.0,0.005080440304826418,1709,-43.85000000000001,0.15000000000000213,43.5125,-0.04284472708981044,must be computed using only data available at or before window_end
s_dhw_upper_storage_temperature__delta,causal_temporal,3.0,0.0,0.014817950889077053,693,-56.9,-0.004999999999999,58.1,-0.0155356353495944,must be computed using only data available at or before window_end
s_hc1_supply_temperature__mean__roll3d_slope,causal_temporal,3.0,0.0,0.05334462320067739,2236,-14.474444444444451,0.003797635445364097,15.773611111111087,0.007795529956090298,must be computed using only data available at or before window_end
s_hc1_supply_temperature__mean__roll7d_slope,causal_temporal,3.0,0.0,0.05334462320067739,2236,-14.474444444444451,0.0027376503327586404,15.773611111111087,0.004071584381037035,must be computed using only data available at or before window_end
s_hc1_supply_temperature_setpoint__mean__roll3d_slope,causal_temporal,3.0,0.0,0.06773920406435224,2044,-10.012499999999996,8.417783842547414e-16,16.08194444444445,0.01174911319075924,must be computed using only data available at or before window_end
s_hc1_supply_temperature_setpoint__mean__roll7d_mean,causal_temporal,3.0,0.0,0.0,2108,10.0,57.46811342592592,82.8781746031746,0.10556042477230211,must be computed using only data available at or before window_end
s_dhw_upper_storage_temperature__first,context_or_other,3.0,0.0,0.0,480,8.0,58.9,71.8,-0.1889883463673369,must be computed using only data available at or before window_end
s_hc1_supply_temperature__first,context_or_other,3.0,0.0,0.0,799,12.93,58.8,93.5,0.09745767184424088,must be computed using only data available at or before window_end
season_bucket__is__autumn,context_or_other,3.0,0.0,0.7523285351397121,2,0.0,0.0,1.0,0.12709639069036704,must be computed using only data available at or before window_end
season_bucket__is__winter,context_or_other,3.0,0.0,0.5872142252328535,2,0.0,0.0,1.0,-0.01460112961328008,must be computed using only data available at or before window_end
network_temperature_gap__mean,sensor_window_stat,3.0,0.0,0.003810330228619814,1747,-0.6111111111111112,41.23354166666667,64.75595238095238,0.07123585735050011,must be computed using only data available at or before window_end
p_net_meter_heat_power__mean,sensor_window_stat,3.0,0.0,0.008890770533446233,2186,0.0,169.46527777777777,283858.3333333333,0.13904716999511962,must be computed using only data available at or before window_end
p_net_supply_temperature__std,sensor_window_stat,3.0,0.0,0.02032176121930567,2232,0.0,0.7409937769440234,24.425396619093007,0.07248671463566461,must be computed using only data available at or before window_end
s_dhw_lower_storage_temperature__std,sensor_window_stat,3.0,0.0,0.003386960203217612,1528,0.0,9.606589461627788,28.22450426266183,-0.055835022418594345,must be computed using only data available at or before window_end
s_dhw_upper_storage_temperature__last,sensor_window_stat,3.0,0.0,0.0,583,7.9,58.875,71.4,-0.1966202206569968,must be computed using only data available at or before window_end
network_temperature_gap__last__roll3d_slope,causal_temporal,2.0,0.0,0.05927180355630821,2123,-30.0,0.0,19.999999999999993,-0.028423956002783326,must be computed using only data available at or before window_end
network_temperature_gap__mean__roll3d_slope,causal_temporal,2.0,0.0,0.056731583403895,2224,-16.38888888888889,0.005487567987567783,15.32888888888887,-0.00740357422260896,must be computed using only data available at or before window_end
outdoor_temperature__delta,causal_temporal,2.0,0.0,0.03598645215918713,966,-12.5,-0.200000000000001,15.2,-0.009433042373108602,must be computed using only data available at or before window_end
outdoor_temperature__std__roll3d_slope,causal_temporal,2.0,0.0,0.0558848433530906,2231,-2.243744428678278,0.0011974841265804314,6.687621449587722,-0.0076442690079915054,must be computed using only data available at or before window_end
p_net_meter_energy__delta,causal_temporal,2.0,0.0,0.01989839119390347,1199,0.0,915.0,2272000.0,0.14013104504893786,must be computed using only data available at or before window_end
p_net_meter_flow__mean__roll3d_delta,causal_temporal,2.0,0.0,0.563082133784928,1029,-1521388.888888889,0.0,1168944.4444444445,0.049192178865324586,must be computed using only data available at or before window_end
p_net_meter_volume__delta,causal_temporal,2.0,0.0,0.013547840812870448,1534,0.0,19.533333333333758,67000000.0,0.16530202186157678,must be computed using only data available at or before window_end
p_net_return_temperature__mean__roll3d_slope,causal_temporal,2.0,0.0,0.0550381033022862,2226,-15.858333333333334,0.0,10.52777777777776,-0.10943543720169983,must be computed using only data available at or before window_end
