feature,gain_importance,split_importance,feature_family,gain_rank,split_rank,train_permutation_mean,train_permutation_std,validation_permutation_mean,validation_permutation_std,holdout_permutation_mean,holdout_permutation_std,train_holdout_gap,validation_holdout_gap,drift_flag
manufacturer__is__manufacturer_2,27.74139976501465,1,derived_one_hot,77,99,0.0,0.0,0.0,0.0,0.003149298366689707,0.001997209459013469,-0.003149298366689707,-0.003149298366689707,
configuration_type__is__sh_dhw,16.01282048225403,4,derived_one_hot,86,78,0.0009349298295982189,0.001024955297521363,0.00536654945183509,0.0020644922787886777,0.003149298366689707,0.001997209459013469,-0.002214368537091488,0.0022172510851453833,
s_dhw_lower_storage_temperature__min,229.1873823404312,27,sensor_numeric,27,18,0.009110454866896645,0.001590793463922062,0.0036026537749901054,0.003507066941149682,0.0031352428842870983,0.0032245837316598955,0.005975211982609547,0.00046741089070300714,
p_net_return_temperature__min,96.13854771852493,15,sensor_numeric,46,36,0.00027732683982684136,0.0008319805194805241,-0.0030171474999061143,0.0008286308286308275,0.002872670807453459,0.0,-0.0025953439676266177,-0.005889818307359573,
p_net_meter_flow__mean,174.01246190071106,22,sensor_numeric,32,23,0.0021119930988683366,0.0010107476742821561,0.004797618057362363,0.003234243109643487,0.002859169264655215,0.004851261227435908,-0.0007471761657868782,0.0019384487927071484,
hc1_supply_temperature_gap__max_abs,144.92649275064468,22,sensor_numeric,37,23,0.0,0.0,0.0010859132970215124,0.0018086747035777665,0.002581857219538414,0.0015397560226815086,-0.002581857219538414,-0.0014959439225169014,
s_hc1_supply_temperature_setpoint__max,575.3516661226749,24,sensor_numeric,15,21,-0.00027624774706487277,0.0005524954941297455,0.00843777283019197,0.004098406792599941,0.0025783107123687143,0.0019997426539988014,-0.002854558459433587,0.005859462117823256,
days_since_last_any_event,3689.206550091505,172,event_context,1,1,0.01276221326152347,0.0047495211856401634,0.2524043489914268,0.01724073210916988,0.002568345634126906,0.018705924126390452,0.010193867627396564,0.24983600335729986,large_drop_on_holdout
network_temperature_gap__mean,648.8839221596718,56,sensor_numeric,14,9,0.012115433454051005,0.0038996221187687623,0.002501105583101959,0.009369957458944417,0.0024241777867947843,0.020278401789805302,0.009691255667256222,7.692779630717479e-05,large_drop_on_holdout
s_dhw_upper_storage_temperature__std,26.399359703063965,6,sensor_numeric,78,65,0.0,0.0,-0.0005535762211273054,0.003030066749792188,0.0022945901387930677,0.0017165277887703089,-0.0022945901387930677,-0.002848166359920373,
