tp,fp,fn,tn,precision,recall,f1,false_positive_rate,fault_events,detected_fault_events,fault_event_recall,split,iforest_ratio_threshold,mahalanobis_ratio_threshold
39,4,179,678,0.9069767441860465,0.17889908256880735,0.2988505747126437,0.005865102639296188,21,9,0.42857142857142855,train,0.9,1.05
3,47,23,96,0.06,0.11538461538461539,0.07894736842105263,0.32867132867132864,3,1,0.3333333333333333,validation,0.9,1.05
38,8,39,98,0.8260869565217391,0.4935064935064935,0.6178861788617886,0.07547169811320754,8,6,0.75,holdout,0.9,1.1
38,2,180,680,0.95,0.1743119266055046,0.2945736434108527,0.002932551319648094,21,8,0.38095238095238093,train,0.9,1.1
3,47,23,96,0.06,0.11538461538461539,0.07894736842105263,0.32867132867132864,3,1,0.3333333333333333,validation,0.9,1.1
35,8,42,98,0.813953488372093,0.45454545454545453,0.5833333333333334,0.07547169811320754,8,6,0.75,holdout,0.9,1.15
37,2,181,680,0.9487179487179487,0.16972477064220184,0.28793774319066145,0.002932551319648094,21,8,0.38095238095238093,train,0.9,1.15
3,47,23,96,0.06,0.11538461538461539,0.07894736842105263,0.32867132867132864,3,1,0.3333333333333333,validation,0.9,1.15
35,8,42,98,0.813953488372093,0.45454545454545453,0.5833333333333334,0.07547169811320754,8,6,0.75,holdout,0.9,1.2
36,2,182,680,0.9473684210526315,0.1651376146788991,0.28125,0.002932551319648094,21,8,0.38095238095238093,train,0.9,1.2
3,46,23,97,0.061224489795918366,0.11538461538461539,0.08,0.32167832167832167,3,1,0.3333333333333333,validation,0.9,1.2
35,8,42,98,0.813953488372093,0.45454545454545453,0.5833333333333334,0.07547169811320754,8,6,0.75,holdout,0.9,1.25
35,2,183,680,0.9459459459459459,0.16055045871559634,0.27450980392156865,0.002932551319648094,21,7,0.3333333333333333,train,0.9,1.25
3,42,23,101,0.06666666666666667,0.11538461538461539,0.08450704225352113,0.2937062937062937,3,1,0.3333333333333333,validation,0.9,1.25
35,8,42,98,0.813953488372093,0.45454545454545453,0.5833333333333334,0.07547169811320754,8,6,0.75,holdout,0.9,1.3
34,1,184,681,0.9714285714285714,0.1559633027522936,0.26877470355731226,0.001466275659824047,21,7,0.3333333333333333,train,0.9,1.3
3,30,23,113,0.09090909090909091,0.11538461538461539,0.1016949152542373,0.2097902097902098,3,1,0.3333333333333333,validation,0.9,1.3
27,2,50,104,0.9310344827586207,0.35064935064935066,0.5094339622641509,0.018867924528301886,8,5,0.625,holdout,0.95,0.8
31,8,187,674,0.7948717948717948,0.14220183486238533,0.24124513618677043,0.011730205278592375,21,8,0.38095238095238093,train,0.95,0.8
3,19,23,124,0.13636363636363635,0.11538461538461539,0.12499999999999997,0.13286713286713286,3,1,0.3333333333333333,validation,0.95,0.8
27,2,50,104,0.9310344827586207,0.35064935064935066,0.5094339622641509,0.018867924528301886,8,5,0.625,holdout,0.95,0.85
31,7,187,675,0.8157894736842105,0.14220183486238533,0.2421875,0.010263929618768328,21,8,0.38095238095238093,train,0.95,0.85
3,19,23,124,0.13636363636363635,0.11538461538461539,0.12499999999999997,0.13286713286713286,3,1,0.3333333333333333,validation,0.95,0.85
27,2,50,104,0.9310344827586207,0.35064935064935066,0.5094339622641509,0.018867924528301886,8,5,0.625,holdout,0.95,0.9
31,6,187,676,0.8378378378378378,0.14220183486238533,0.24313725490196078,0.008797653958944282,21,8,0.38095238095238093,train,0.95,0.9
3,19,23,124,0.13636363636363635,0.11538461538461539,0.12499999999999997,0.13286713286713286,3,1,0.3333333333333333,validation,0.95,0.9
27,2,50,104,0.9310344827586207,0.35064935064935066,0.5094339622641509,0.018867924528301886,8,5,0.625,holdout,0.95,0.95
30,4,188,678,0.8823529411764706,0.13761467889908258,0.2380952380952381,0.005865102639296188,21,8,0.38095238095238093,train,0.95,0.95
3,19,23,124,0.13636363636363635,0.11538461538461539,0.12499999999999997,0.13286713286713286,3,1,0.3333333333333333,validation,0.95,0.95
27,2,50,104,0.9310344827586207,0.35064935064935066,0.5094339622641509,0.018867924528301886,8,5,0.625,holdout,0.95,1.0
29,3,189,679,0.90625,0.13302752293577982,0.232,0.004398826979472141,21,8,0.38095238095238093,train,0.95,1.0
3,19,23,124,0.13636363636363635,0.11538461538461539,0.12499999999999997,0.13286713286713286,3,1,0.3333333333333333,validation,0.95,1.0
27,2,50,104,0.9310344827586207,0.35064935064935066,0.5094339622641509,0.018867924528301886,8,5,0.625,holdout,0.95,1.05
29,3,189,679,0.90625,0.13302752293577982,0.232,0.004398826979472141,21,8,0.38095238095238093,train,0.95,1.05
3,19,23,124,0.13636363636363635,0.11538461538461539,0.12499999999999997,0.13286713286713286,3,1,0.3333333333333333,validation,0.95,1.05
27,2,50,104,0.9310344827586207,0.35064935064935066,0.5094339622641509,0.018867924528301886,8,5,0.625,holdout,0.95,1.1
28,2,190,680,0.9333333333333333,0.12844036697247707,0.22580645161290325,0.002932551319648094,21,7,0.3333333333333333,train,0.95,1.1
