tp,fp,fn,tn,precision,recall,f1,false_positive_rate,fault_events,detected_fault_events,fault_event_recall,split,iforest_ratio_threshold,mahalanobis_ratio_threshold
3,19,23,124,0.13636363636363635,0.11538461538461539,0.12499999999999997,0.13286713286713286,3,1,0.3333333333333333,validation,0.95,1.1
27,2,50,104,0.9310344827586207,0.35064935064935066,0.5094339622641509,0.018867924528301886,8,5,0.625,holdout,0.95,1.15
27,2,191,680,0.9310344827586207,0.12385321100917432,0.21862348178137656,0.002932551319648094,21,7,0.3333333333333333,train,0.95,1.15
3,19,23,124,0.13636363636363635,0.11538461538461539,0.12499999999999997,0.13286713286713286,3,1,0.3333333333333333,validation,0.95,1.15
27,2,50,104,0.9310344827586207,0.35064935064935066,0.5094339622641509,0.018867924528301886,8,5,0.625,holdout,0.95,1.2
26,2,192,680,0.9285714285714286,0.11926605504587157,0.21138211382113822,0.002932551319648094,21,7,0.3333333333333333,train,0.95,1.2
3,19,23,124,0.13636363636363635,0.11538461538461539,0.12499999999999997,0.13286713286713286,3,1,0.3333333333333333,validation,0.95,1.2
27,2,50,104,0.9310344827586207,0.35064935064935066,0.5094339622641509,0.018867924528301886,8,5,0.625,holdout,0.95,1.25
25,2,193,680,0.9259259259259259,0.11467889908256881,0.20408163265306126,0.002932551319648094,21,6,0.2857142857142857,train,0.95,1.25
3,18,23,125,0.14285714285714285,0.11538461538461539,0.12765957446808512,0.1258741258741259,3,1,0.3333333333333333,validation,0.95,1.25
27,2,50,104,0.9310344827586207,0.35064935064935066,0.5094339622641509,0.018867924528301886,8,5,0.625,holdout,0.95,1.3
24,1,194,681,0.96,0.11009174311926606,0.19753086419753088,0.001466275659824047,21,6,0.2857142857142857,train,0.95,1.3
3,14,23,129,0.17647058823529413,0.11538461538461539,0.13953488372093026,0.0979020979020979,3,1,0.3333333333333333,validation,0.95,1.3
22,0,55,106,1.0,0.2857142857142857,0.4444444444444445,0.0,8,4,0.5,holdout,1.0,0.8
