gate,probability_column,target_definition,threshold,split,tp,fp,fn,tn,precision,recall,f1,false_positive_rate,balanced_accuracy,positive_rate,target_positive_count,native_label_available
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.35,train,128,398,67,284,0.243346007605,0.65641025641,0.355062413315,0.58357771261,0.5364162719,0.599771949829,195,True
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.35,validation,18,96,5,47,0.157894736842,0.782608695652,0.262773722628,0.671328671329,0.555640012162,0.686746987952,23,True
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.4,holdout,56,50,21,56,0.528301886792,0.727272727273,0.612021857923,0.471698113208,0.627787307033,0.579234972678,77,True
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.4,train,122,373,73,309,0.246464646465,0.625641025641,0.353623188406,0.546920821114,0.539360102263,0.564424173318,195,True
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.4,validation,17,90,6,53,0.158878504673,0.739130434783,0.261538461538,0.629370629371,0.554879902706,0.644578313253,23,True
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.45,holdout,54,49,23,57,0.52427184466,0.701298701299,0.6,0.462264150943,0.619517275178,0.562841530055,77,True
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.45,train,116,348,79,334,0.25,0.594871794872,0.352048558422,0.510263929619,0.542303932627,0.529076396807,195,True
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.45,validation,15,85,8,58,0.15,0.652173913043,0.243902439024,0.594405594406,0.528884159319,0.602409638554,23,True
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.5,holdout,51,45,26,61,0.53125,0.662337662338,0.589595375723,0.424528301887,0.618904680225,0.524590163934,77,True
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.5,train,107,328,88,354,0.245977011494,0.548717948718,0.339682539683,0.480938416422,0.533889766148,0.496009122007,195,True
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.5,validation,13,79,10,64,0.141304347826,0.565217391304,0.226086956522,0.552447552448,0.506384919428,0.55421686747,23,True
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.55,holdout,48,41,29,65,0.539325842697,0.623376623377,0.578313253012,0.38679245283,0.618292085273,0.486338797814,77,True
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.55,train,98,308,97,374,0.241379310345,0.502564102564,0.32612312812,0.451612903226,0.525475599669,0.462941847206,195,True
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.55,validation,13,76,10,67,0.14606741573,0.565217391304,0.232142857143,0.531468531469,0.516874429918,0.536144578313,23,True
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.6,holdout,46,39,31,67,0.541176470588,0.597402597403,0.567901234568,0.367924528302,0.61473903455,0.464480874317,77,True
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.6,train,90,287,105,395,0.238726790451,0.461538461538,0.314685314685,0.42082111437,0.520358673584,0.429874572406,195,True
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.6,validation,12,72,11,71,0.142857142857,0.521739130435,0.224299065421,0.503496503497,0.509121313469,0.506024096386,23,True
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.65,holdout,42,38,35,68,0.525,0.545454545455,0.535031847134,0.358490566038,0.593481989708,0.437158469945,77,True
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.65,train,81,260,114,422,0.237536656891,0.415384615385,0.30223880597,0.381231671554,0.517076471915,0.388825541619,195,True
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.65,validation,11,58,12,85,0.159420289855,0.478260869565,0.239130434783,0.405594405594,0.536333231985,0.415662650602,23,True
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.7,holdout,41,36,36,70,0.532467532468,0.532467532468,0.532467532468,0.339622641509,0.596422445479,0.420765027322,77,True
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.7,train,72,233,123,449,0.23606557377,0.369230769231,0.288,0.341642228739,0.513794270246,0.347776510832,195,True
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.7,validation,9,49,14,94,0.155172413793,0.391304347826,0.222222222222,0.342657342657,0.524323502584,0.349397590361,23,True
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.75,holdout,41,33,36,73,0.554054054054,0.532467532468,0.543046357616,0.311320754717,0.610573388875,0.404371584699,77,True
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.75,train,63,214,132,468,0.227436823105,0.323076923077,0.266949152542,0.313782991202,0.504646965937,0.315849486887,195,True
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.75,validation,9,45,14,98,0.166666666667,0.391304347826,0.233766233766,0.314685314685,0.53830951657,0.325301204819,23,True
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.8,holdout,38,31,39,75,0.550724637681,0.493506493506,0.520547945205,0.292452830189,0.600526831659,0.377049180328,77,True
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.8,train,52,179,143,503,0.225108225108,0.266666666667,0.244131455399,0.262463343109,0.502101661779,0.263397947548,195,True
pre_event_gate,m1_specialist_pre_event_probability,pre_fault_proxy,0.8,validation,9,37,14,106,0.195652173913,0.391304347826,0.260869565217,0.258741258741,0.566281544542,0.277108433735,23,True
task_gate,m1_specialist_task_probability,task_proxy_maintenance_or_disturbance,0.3,holdout,0,2,0,181,0,0,0,0.0109289617486,0.494535519126,0.0109289617486,0,True
task_gate,m1_specialist_task_probability,task_proxy_maintenance_or_disturbance,0.3,train,0,4,1,872,0,0,0,0.00456621004566,0.497716894977,0.00456100342075,1,True
task_gate,m1_specialist_task_probability,task_proxy_maintenance_or_disturbance,0.3,validation,0,3,0,163,0,0,0,0.0180722891566,0.490963855422,0.0180722891566,0,True
task_gate,m1_specialist_task_probability,task_proxy_maintenance_or_disturbance,0.35,holdout,0,0,0,183,0,0,0,0,0.5,0,0,True
task_gate,m1_specialist_task_probability,task_proxy_maintenance_or_disturbance,0.35,train,0,3,1,873,0,0,0,0.00342465753425,0.498287671233,0.00342075256556,1,True
task_gate,m1_specialist_task_probability,task_proxy_maintenance_or_disturbance,0.35,validation,0,1,0,165,0,0,0,0.00602409638554,0.496987951807,0.00602409638554,0,True
task_gate,m1_specialist_task_probability,task_proxy_maintenance_or_disturbance,0.4,holdout,0,0,0,183,0,0,0,0,0.5,0,0,True
task_gate,m1_specialist_task_probability,task_proxy_maintenance_or_disturbance,0.4,train,0,0,1,876,0,0,0,0,0.5,0,1,True
task_gate,m1_specialist_task_probability,task_proxy_maintenance_or_disturbance,0.4,validation,0,1,0,165,0,0,0,0.00602409638554,0.496987951807,0.00602409638554,0,True
task_gate,m1_specialist_task_probability,task_proxy_maintenance_or_disturbance,0.45,holdout,0,0,0,183,0,0,0,0,0.5,0,0,True
task_gate,m1_specialist_task_probability,task_proxy_maintenance_or_disturbance,0.45,train,0,0,1,876,0,0,0,0,0.5,0,1,True
task_gate,m1_specialist_task_probability,task_proxy_maintenance_or_disturbance,0.45,validation,0,0,0,166,0,0,0,0,0.5,0,0,True
task_gate,m1_specialist_task_probability,task_proxy_maintenance_or_disturbance,0.5,holdout,0,0,0,183,0,0,0,0,0.5,0,0,True
task_gate,m1_specialist_task_probability,task_proxy_maintenance_or_disturbance,0.5,train,0,0,1,876,0,0,0,0,0.5,0,1,True
task_gate,m1_specialist_task_probability,task_proxy_maintenance_or_disturbance,0.5,validation,0,0,0,166,0,0,0,0,0.5,0,0,True
task_gate,m1_specialist_task_probability,task_proxy_maintenance_or_disturbance,0.55,holdout,0,0,0,183,0,0,0,0,0.5,0,0,True
task_gate,m1_specialist_task_probability,task_proxy_maintenance_or_disturbance,0.55,train,0,0,1,876,0,0,0,0,0.5,0,1,True
task_gate,m1_specialist_task_probability,task_proxy_maintenance_or_disturbance,0.55,validation,0,0,0,166,0,0,0,0,0.5,0,0,True
task_gate,m1_specialist_task_probability,task_proxy_maintenance_or_disturbance,0.6,holdout,0,0,0,183,0,0,0,0,0.5,0,0,True
task_gate,m1_specialist_task_probability,task_proxy_maintenance_or_disturbance,0.6,train,0,0,1,876,0,0,0,0,0.5,0,1,True
task_gate,m1_specialist_task_probability,task_proxy_maintenance_or_disturbance,0.6,validation,0,0,0,166,0,0,0,0,0.5,0,0,True
