tp,fp,fn,tn,precision,recall,f1,false_positive_rate,fault_events,detected_fault_events,fault_event_recall,top10_precision,top10_recall,top20_precision,top20_recall,top30_precision,top30_recall,variant,split,high_threshold,urgent_threshold,w_pre_event,w_leadtime,w_group
23,0,0,143,1,1,1,0,2,2,1,1,0.434782608696,1,0.869565217391,0.766666666667,1,grid_0.10_0.15_0.75,validation,52.5,67.5,0.1,0.15,0.75
57,0,20,106,1,0.74025974026,0.850746268657,0,8,7,0.875,1,0.12987012987,1,0.25974025974,1,0.38961038961,grid_0.10_0.20_0.70,holdout,52.5,67.5,0.1,0.2,0.7
173,0,22,682,1,0.887179487179,0.940217391304,0,18,17,0.944444444444,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.10_0.20_0.70,train,52.5,67.5,0.1,0.2,0.7
23,0,0,143,1,1,1,0,2,2,1,1,0.434782608696,1,0.869565217391,0.766666666667,1,grid_0.10_0.20_0.70,validation,52.5,67.5,0.1,0.2,0.7
55,0,22,106,1,0.714285714286,0.833333333333,0,8,7,0.875,1,0.12987012987,1,0.25974025974,1,0.38961038961,grid_0.10_0.25_0.65,holdout,52.5,67.5,0.1,0.25,0.65
176,0,19,682,1,0.902564102564,0.948787061995,0,18,17,0.944444444444,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.10_0.25_0.65,train,52.5,67.5,0.1,0.25,0.65
23,0,0,143,1,1,1,0,2,2,1,1,0.434782608696,1,0.869565217391,0.766666666667,1,grid_0.10_0.25_0.65,validation,52.5,67.5,0.1,0.25,0.65
54,0,23,106,1,0.701298701299,0.824427480916,0,8,7,0.875,1,0.12987012987,1,0.25974025974,1,0.38961038961,grid_0.10_0.30_0.60,holdout,55,70,0.1,0.3,0.6
170,0,25,682,1,0.871794871795,0.931506849315,0,18,17,0.944444444444,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.10_0.30_0.60,train,55,70,0.1,0.3,0.6
23,0,0,143,1,1,1,0,2,2,1,1,0.434782608696,1,0.869565217391,0.766666666667,1,grid_0.10_0.30_0.60,validation,55,70,0.1,0.3,0.6
