tp,fp,fn,tn,precision,recall,f1,false_positive_rate,fault_events,detected_fault_events,fault_event_recall,current_best_weight,m1_specialist_weight,split,high_threshold,urgent_threshold,operating_score
112,23,83,659,0.8296296296296296,0.5743589743589743,0.6787878787878787,0.03372434017595308,18,18,1.0,0.3,0.7,train,65.0,80.0,0.8619257086999021
16,21,7,122,0.43243243243243246,0.6956521739130435,0.5333333333333333,0.14685314685314685,2,2,1.0,0.3,0.7,validation,65.0,80.0,0.65990675990676
49,21,28,85,0.7,0.6363636363636364,0.6666666666666666,0.19811320754716982,8,7,0.875,0.31,0.69,holdout,65.0,80.0,0.7426100628930817
113,15,82,667,0.8828125,0.5794871794871795,0.6996904024767802,0.021994134897360705,18,18,1.0,0.31,0.69,train,65.0,80.0,0.8886933350280999
16,19,7,124,0.45714285714285713,0.6956521739130435,0.5517241379310345,0.13286713286713286,2,2,1.0,0.31,0.69,validation,65.0,80.0,0.685290571497468
48,20,29,86,0.7058823529411765,0.6233766233766234,0.6620689655172415,0.18867924528301888,8,7,0.875,0.32,0.6799999999999999,holdout,65.0,80.0,0.7427293428757321
114,3,81,679,0.9743589743589743,0.5846153846153846,0.7307692307692307,0.004398826979472141,18,18,1.0,0.32,0.6799999999999999,train,65.0,80.0,0.9285698172794947
16,17,7,126,0.48484848484848486,0.6956521739130435,0.5714285714285715,0.11888111888111888,2,2,1.0,0.32,0.6799999999999999,validation,65.0,80.0,0.7119880119880121
55,26,22,80,0.6790123456790124,0.7142857142857143,0.6962025316455697,0.24528301886792453,8,7,0.875,0.33,0.6699999999999999,holdout,62.5,77.5,0.7485610222116075
125,30,70,652,0.8064516129032258,0.6410256410256411,0.7142857142857142,0.04398826979472141,18,18,1.0,0.33,0.6699999999999999,train,62.5,77.5,0.8922915793883535
20,27,3,116,0.425531914893617,0.8695652173913043,0.5714285714285714,0.1888111888111888,2,2,1.0,0.33,0.6699999999999999,validation,62.5,77.5,0.677022977022977
55,26,22,80,0.6790123456790124,0.7142857142857143,0.6962025316455697,0.24528301886792453,8,7,0.875,0.34,0.6599999999999999,holdout,62.5,77.5,0.7485610222116075
126,24,69,658,0.84,0.6461538461538462,0.7304347826086957,0.03519061583577713,18,18,1.0,0.34,0.6599999999999999,train,62.5,77.5,0.9128394746908071
20,25,3,118,0.4444444444444444,0.8695652173913043,0.5882352941176471,0.17482517482517482,2,2,1.0,0.34,0.6599999999999999,validation,62.5,77.5,0.7008227067050598
55,26,22,80,0.6790123456790124,0.7142857142857143,0.6962025316455697,0.24528301886792453,8,8,1.0,0.35,0.65,holdout,62.5,77.5,0.7735610222116075
128,14,67,668,0.9014084507042254,0.6564102564102564,0.7596439169139465,0.020527859237536656,18,18,1.0,0.35,0.65,train,62.5,77.5,0.9493799872951783
20,23,3,120,0.46511627906976744,0.8695652173913043,0.6060606060606061,0.16083916083916083,2,2,1.0,0.35,0.65,validation,62.5,77.5,0.7256410256410257
54,25,23,81,0.6835443037974683,0.7012987012987013,0.6923076923076923,0.2358490566037736,8,8,1.0,0.36,0.64,holdout,62.5,77.5,0.7743831640058054
127,5,68,677,0.9621212121212122,0.6512820512820513,0.7767584097859328,0.007331378299120235,18,18,1.0,0.36,0.64,train,62.5,77.5,0.9730927206363726
21,22,2,121,0.4883720930232558,0.9130434782608695,0.6363636363636364,0.15384615384615385,2,2,1.0,0.36,0.64,validation,62.5,77.5,0.7594405594405595
55,23,22,83,0.7051282051282052,0.7142857142857143,0.7096774193548389,0.2169811320754717,8,8,1.0,0.37,0.63,holdout,62.5,77.5,0.801186853317103
127,3,68,679,0.9769230769230769,0.6512820512820513,0.7815384615384615,0.004398826979472141,18,18,1.0,0.37,0.63,train,62.5,77.5,0.9793390480487254
22,21,1,122,0.5116279069767442,0.9565217391304348,0.6666666666666667,0.14685314685314685,2,2,1.0,0.37,0.63,validation,62.5,77.5,0.7932400932400933
54,24,23,82,0.6923076923076923,0.7012987012987013,0.6967741935483871,0.22641509433962265,8,8,1.0,0.38,0.62,holdout,62.5,77.5,0.7835666463785758
128,2,67,680,0.9846153846153847,0.6564102564102564,0.7876923076923078,0.002932551319648094,18,18,1.0,0.38,0.62,train,62.5,77.5,0.9862260320324838
22,20,1,123,0.5238095238095238,0.9565217391304348,0.6769230769230768,0.13986013986013987,2,2,1.0,0.38,0.62,validation,62.5,77.5,0.806993006993007
54,22,23,84,0.7105263157894737,0.7012987012987013,0.7058823529411765,0.20754716981132076,8,8,1.0,0.39,0.61,holdout,62.5,77.5,0.8021087680355162
129,1,66,681,0.9923076923076923,0.6615384615384615,0.793846153846154,0.001466275659824047,18,18,1.0,0.39,0.61,train,62.5,77.5,0.993113016016242
23,21,0,122,0.5227272727272727,1.0,0.6865671641791045,0.14685314685314685,2,2,1.0,0.39,0.61,validation,62.5,77.5,0.813140590752531
55,22,22,84,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.20754716981132076,8,8,1.0,0.4,0.6,holdout,62.5,77.5,0.810512129380054
133,1,62,681,0.9925373134328358,0.6820512820512821,0.8085106382978723,0.001466275659824047,18,18,1.0,0.4,0.6,train,62.5,77.5,1.0077775004679603
23,20,0,123,0.5348837209302325,1.0,0.6969696969696969,0.13986013986013987,2,2,1.0,0.4,0.6,validation,62.5,77.5,0.8270396270396271
55,21,22,85,0.7236842105263158,0.7142857142857143,0.7189542483660132,0.19811320754716982,8,8,1.0,0.41,0.5900000000000001,holdout,62.5,77.5,0.8198976445924282
