policy,split,metric_scope,row_count,precision,recall,false_positive_rate,tp,fp,fn,tn,mean_score,pre_event_threshold,leadtime_threshold,fault_events,detected_fault_events,fault_event_recall,selected_official_v3,f1
pre_0.965_or_lead_0.965,validation,row,169,0.4,0.153846153846,0.041958041958,4,6,22,137,83.3886380509,0.965,0.965,3,1,0.333333333333,False,0.222222222222
pre_0.965_or_lead_0.965,holdout,row,183,0.6875,0.428571428571,0.141509433962,33,15,44,91,85.7343819798,0.965,0.965,8,6,0.75,False,0.528
pre_0.965_or_lead_0.970,train,row,900,0.277777777778,0.137614678899,0.114369501466,30,78,188,604,83.0304080383,0.965,0.97,21,12,0.571428571429,False,0.184049079755
pre_0.965_or_lead_0.970,validation,row,169,0.4,0.153846153846,0.041958041958,4,6,22,137,83.0105744374,0.965,0.97,3,1,0.333333333333,False,0.222222222222
pre_0.965_or_lead_0.970,holdout,row,183,0.6875,0.428571428571,0.141509433962,33,15,44,91,85.42290657,0.965,0.97,8,6,0.75,False,0.528
pre_0.965_or_lead_0.975,train,row,900,0.274509803922,0.128440366972,0.108504398827,28,74,190,608,82.669355593,0.965,0.975,21,12,0.571428571429,False,0.175
pre_0.965_or_lead_0.975,validation,row,169,0.4,0.153846153846,0.041958041958,4,6,22,137,82.6377933723,0.965,0.975,3,1,0.333333333333,False,0.222222222222
pre_0.965_or_lead_0.975,holdout,row,183,0.666666666667,0.38961038961,0.141509433962,30,15,47,91,85.1150945971,0.965,0.975,8,4,0.5,False,0.491803278689
pre_0.965_or_lead_0.980,train,row,900,0.277227722772,0.128440366972,0.107038123167,28,73,190,609,82.3100980144,0.965,0.98,21,12,0.571428571429,False,0.175548589342
pre_0.965_or_lead_0.980,validation,row,169,0.4,0.153846153846,0.041958041958,4,6,22,137,82.2650123072,0.965,0.98,3,1,0.333333333333,False,0.222222222222
pre_0.965_or_lead_0.980,holdout,row,183,0.666666666667,0.38961038961,0.141509433962,30,15,47,91,84.8096896862,0.965,0.98,8,4,0.5,False,0.491803278689
pre_0.965_or_lead_0.985,train,row,900,0.257731958763,0.114678899083,0.105571847507,25,72,193,610,81.9527687695,0.965,0.985,21,11,0.52380952381,False,0.15873015873
pre_0.965_or_lead_0.985,validation,row,169,0.4,0.153846153846,0.041958041958,4,6,22,137,81.8935977756,0.965,0.985,3,1,0.333333333333,False,0.222222222222
pre_0.965_or_lead_0.985,holdout,row,183,0.666666666667,0.38961038961,0.141509433962,30,15,47,91,84.5064109977,0.965,0.985,8,4,0.5,False,0.491803278689
pre_0.965_or_lead_0.990,train,row,900,0.257731958763,0.114678899083,0.105571847507,25,72,193,610,81.5966632144,0.965,0.99,21,11,0.52380952381,False,0.15873015873
