model,split,candidate_id,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,class_weight,roc_auc,average_precision,precision,recall,f1,false_positive_rate,predicted_positive_count,true_positive_count,false_positive_count,positive_count,row_count
risk_lgbm,holdout,63,100,0.03,31,4,50,0.9,0.8,0.1,1.0,balanced,0.6383394914149098,0.39184535231540973,0.5119047619047619,0.5,0.5058823529411764,0.19158878504672897,84,43,41,86,300
risk_lgbm,validation,64,100,0.03,31,4,50,0.9,0.9,0.1,1.0,balanced,0.8031031468531469,0.8101327300975218,0.6083916083916084,0.6083916083916084,0.6083916083916084,0.19444444444444445,143,87,56,143,431
risk_lgbm,holdout,64,100,0.03,31,4,50,0.9,0.9,0.1,1.0,balanced,0.6558900239078462,0.39065008136154766,0.5061728395061729,0.47674418604651164,0.49101796407185627,0.18691588785046728,81,41,40,86,300
risk_lgbm,validation,65,100,0.03,31,-1,30,0.8,0.8,0.1,1.0,balanced,0.795867327117327,0.7926355860463118,0.673202614379085,0.7202797202797203,0.6959459459459459,0.1736111111111111,153,103,50,143,431
risk_lgbm,holdout,65,100,0.03,31,-1,30,0.8,0.8,0.1,1.0,balanced,0.5668876331232341,0.3056755217130923,0.3711340206185567,0.4186046511627907,0.39344262295081966,0.2850467289719626,97,36,61,86,300
risk_lgbm,validation,66,100,0.03,31,-1,30,0.8,0.9,0.1,1.0,balanced,0.7964015151515152,0.7986371689598859,0.673202614379085,0.7202797202797203,0.6959459459459459,0.1736111111111111,153,103,50,143,431
risk_lgbm,holdout,66,100,0.03,31,-1,30,0.8,0.9,0.1,1.0,balanced,0.5479787002825472,0.315114691841639,0.3645833333333333,0.4069767441860465,0.38461538461538464,0.2850467289719626,96,35,61,86,300
risk_lgbm,validation,67,100,0.03,31,-1,30,0.9,0.8,0.1,1.0,balanced,0.795867327117327,0.7926355860463118,0.673202614379085,0.7202797202797203,0.6959459459459459,0.1736111111111111,153,103,50,143,431
risk_lgbm,holdout,67,100,0.03,31,-1,30,0.9,0.8,0.1,1.0,balanced,0.5668876331232341,0.3056755217130923,0.3711340206185567,0.4186046511627907,0.39344262295081966,0.2850467289719626,97,36,61,86,300
risk_lgbm,validation,68,100,0.03,31,-1,30,0.9,0.9,0.1,1.0,balanced,0.7964015151515152,0.7986371689598859,0.673202614379085,0.7202797202797203,0.6959459459459459,0.1736111111111111,153,103,50,143,431
risk_lgbm,holdout,68,100,0.03,31,-1,30,0.9,0.9,0.1,1.0,balanced,0.5479787002825472,0.315114691841639,0.3645833333333333,0.4069767441860465,0.38461538461538464,0.2850467289719626,96,35,61,86,300
