candidate_id,split,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,class_weight,row_count,accuracy,macro_f1,weighted_f1,top2_accuracy,bucket_distance_mae
36,holdout,180,0.04,31,3,20,0.85,1.0,0.1,5.0,balanced,86,0.6627906976744186,0.4494256094144018,0.6541797259345657,0.9651162790697675,0.37209302325581395
37,validation,240,0.04,7,-1,20,0.7,0.7,0.0,0.5,balanced,143,0.38461538461538464,0.2867724867724868,0.3472971472971473,0.7902097902097902,0.7552447552447552
37,holdout,240,0.04,7,-1,20,0.7,0.7,0.0,0.5,balanced,86,0.6627906976744186,0.44932844932844934,0.6493738819320215,0.9651162790697675,0.37209302325581395
38,validation,120,0.06,7,4,30,0.7,0.7,0.5,1.0,,143,0.4405594405594406,0.32516339869281047,0.4028177704648293,0.7902097902097902,0.6993006993006993
38,holdout,120,0.06,7,4,30,0.7,0.7,0.5,1.0,,86,0.6511627906976745,0.4367946894262684,0.641496576135499,0.9651162790697675,0.38372093023255816
39,validation,120,0.04,63,4,5,0.7,0.85,0.0,0.5,,143,0.4755244755244755,0.33055555555555555,0.426486013986014,0.7902097902097902,0.6433566433566433
39,holdout,120,0.04,63,4,5,0.7,0.85,0.0,0.5,,86,0.627906976744186,0.41664261664261665,0.6155743481324877,0.9651162790697675,0.4069767441860465
40,validation,240,0.06,31,3,20,0.7,0.85,0.1,5.0,,143,0.4755244755244755,0.34075573549257765,0.43016194331983804,0.7902097902097902,0.6433566433566433
40,holdout,240,0.06,31,3,20,0.7,0.85,0.1,5.0,,86,0.5697674418604651,0.3639812319057602,0.5470723026668617,0.9651162790697675,0.46511627906976744
41,validation,120,0.04,63,5,45,1.0,0.7,0.5,1.0,,143,0.45454545454545453,0.32564102564102565,0.407638515330823,0.7902097902097902,0.6293706293706294
41,holdout,120,0.04,63,5,45,1.0,0.7,0.5,1.0,,86,0.6511627906976745,0.4367946894262684,0.641496576135499,0.9651162790697675,0.38372093023255816
42,validation,240,0.04,63,5,10,0.85,0.7,0.0,0.5,balanced,143,0.4405594405594406,0.32844932844932845,0.396936396936397,0.7902097902097902,0.6993006993006993
42,holdout,240,0.04,63,5,10,0.85,0.7,0.0,0.5,balanced,86,0.6511627906976745,0.4405430711610487,0.6431767703161746,0.9651162790697675,0.38372093023255816
43,validation,240,0.04,15,5,45,1.0,0.85,0.5,1.0,,143,0.44755244755244755,0.32674737084195776,0.4020362752094547,0.7902097902097902,0.6363636363636364
43,holdout,240,0.04,15,5,45,1.0,0.85,0.5,1.0,,86,0.6162790697674418,0.4151138716356108,0.6086956521739131,0.9651162790697675,0.4186046511627907
44,validation,450,0.04,15,4,5,0.85,0.7,0.1,5.0,balanced,143,0.43356643356643354,0.318349299926308,0.39880752997923224,0.7902097902097902,0.7132867132867133
44,holdout,450,0.04,15,4,5,0.85,0.7,0.1,5.0,balanced,86,0.6046511627906976,0.4064327485380117,0.5970012239902082,0.9651162790697675,0.43023255813953487
45,validation,240,0.015,7,3,20,0.7,0.7,0.1,2.0,,143,0.48951048951048953,0.33192042880531075,0.4327872894111204,0.7902097902097902,0.6223776223776224
45,holdout,240,0.015,7,3,20,0.7,0.7,0.1,2.0,,86,0.6627906976744186,0.4346153846153846,0.6440071556350626,0.9651162790697675,0.37209302325581395
46,validation,120,0.025,15,4,5,0.85,0.85,0.0,2.0,balanced,143,0.3916083916083916,0.2917387365126431,0.3460441214332986,0.7902097902097902,0.7692307692307693
46,holdout,120,0.025,15,4,5,0.85,0.85,0.0,2.0,balanced,86,0.686046511627907,0.4655462184873949,0.6763728747312878,0.9651162790697675,0.3488372093023256
47,validation,320,0.025,63,-1,5,0.7,0.85,0.0,5.0,balanced,143,0.43356643356643354,0.32326191784166514,0.39939148930176216,0.7902097902097902,0.7342657342657343
47,holdout,320,0.025,63,-1,5,0.7,0.85,0.0,5.0,balanced,86,0.6395348837209303,0.4295981087470449,0.6306448952663698,0.9651162790697675,0.3953488372093023
48,validation,450,0.015,15,3,10,0.85,1.0,0.0,0.5,,143,0.4825174825174825,0.33749999999999997,0.43216783216783217,0.7902097902097902,0.6293706293706294
48,holdout,450,0.015,15,3,10,0.85,1.0,0.0,0.5,,86,0.627906976744186,0.41886216113020236,0.6173712672154292,0.9651162790697675,0.4069767441860465
49,validation,120,0.06,63,3,20,1.0,1.0,0.5,2.0,balanced,143,0.46853146853146854,0.3472502394196874,0.4276545021089308,0.7902097902097902,0.6783216783216783
49,holdout,120,0.06,63,3,20,1.0,1.0,0.5,2.0,balanced,86,0.627906976744186,0.4261697954609134,0.6186704633569431,0.9651162790697675,0.4069767441860465
50,validation,240,0.06,15,-1,30,1.0,0.85,0.0,2.0,,143,0.4825174825174825,0.34718805844633654,0.43642714900993046,0.7902097902097902,0.6363636363636364
50,holdout,240,0.06,15,-1,30,1.0,0.85,0.0,2.0,,86,0.686046511627907,0.46282702804441933,0.67680853019579,0.9651162790697675,0.3488372093023256
51,validation,120,0.04,15,5,10,0.7,1.0,0.1,0.5,,143,0.46853146853146854,0.32661672263842245,0.42214024673337514,0.7902097902097902,0.6573426573426573
51,holdout,120,0.04,15,5,10,0.7,1.0,0.1,0.5,,86,0.6627906976744186,0.43990338164251214,0.6489518031681832,0.9651162790697675,0.37209302325581395
