model,split,n_estimators,max_samples,max_features,bootstrap,threshold_quantile,threshold_value,roc_auc,average_precision,precision,recall,f1,false_positive_rate,predicted_positive_count,true_positive_count,false_positive_count,positive_count,row_count
isolation_forest,validation,300,1.0,1.0,False,0.9,0.47870971881556185,0.6399004046062869,0.4954148667123538,0.7272727272727273,0.06722689075630252,0.12307692307692308,0.012345679012345678,11,8,3,119,362
isolation_forest,holdout,300,1.0,1.0,False,0.9,0.47870971881556185,0.7173969406274306,0.6866443993508027,0.925,0.2781954887218045,0.4277456647398844,0.011494252873563218,40,37,3,133,394
isolation_forest,validation,300,1.0,1.0,False,0.92,0.48610717427779704,0.6399004046062869,0.4954148667123538,1.0,0.03361344537815126,0.06504065040650407,0.0,4,4,0,119,362
isolation_forest,holdout,300,1.0,1.0,False,0.92,0.48610717427779704,0.7173969406274306,0.6866443993508027,1.0,0.21804511278195488,0.35802469135802467,0.0,29,29,0,133,394
isolation_forest,validation,300,1.0,1.0,False,0.95,0.49632676819719207,0.6399004046062869,0.4954148667123538,1.0,0.01680672268907563,0.03305785123966942,0.0,2,2,0,119,362
isolation_forest,holdout,300,1.0,1.0,False,0.95,0.49632676819719207,0.7173969406274306,0.6866443993508027,1.0,0.17293233082706766,0.2948717948717949,0.0,23,23,0,133,394
isolation_forest,validation,300,1.0,1.0,False,0.99,0.5261658461818222,0.6399004046062869,0.4954148667123538,0.0,0.0,0.0,0.0,0,0,0,119,362
isolation_forest,holdout,300,1.0,1.0,False,0.99,0.5261658461818222,0.7173969406274306,0.6866443993508027,1.0,0.14285714285714285,0.25,0.0,19,19,0,133,394
isolation_forest,validation,300,1.0,1.0,True,0.9,0.5059639416917819,0.66251685859529,0.5181937459830952,0.8571428571428571,0.10084033613445378,0.18045112781954886,0.00823045267489712,14,12,2,119,362
isolation_forest,holdout,300,1.0,1.0,True,0.9,0.5059639416917819,0.7066228790366722,0.673393510853783,0.9285714285714286,0.2932330827067669,0.44571428571428573,0.011494252873563218,42,39,3,133,394
isolation_forest,validation,300,1.0,1.0,True,0.92,0.511523137184014,0.66251685859529,0.5181937459830952,0.8571428571428571,0.05042016806722689,0.09523809523809523,0.00411522633744856,7,6,1,119,362
isolation_forest,holdout,300,1.0,1.0,True,0.92,0.511523137184014,0.7066228790366722,0.673393510853783,0.9487179487179487,0.2781954887218045,0.43023255813953487,0.007662835249042145,39,37,2,133,394
isolation_forest,validation,300,1.0,1.0,True,0.95,0.5213853236592386,0.66251685859529,0.5181937459830952,1.0,0.025210084033613446,0.04918032786885246,0.0,3,3,0,119,362
isolation_forest,holdout,300,1.0,1.0,True,0.95,0.5213853236592386,0.7066228790366722,0.673393510853783,1.0,0.20300751879699247,0.3375,0.0,27,27,0,133,394
isolation_forest,validation,300,1.0,1.0,True,0.99,0.5550047981692919,0.66251685859529,0.5181937459830952,0.0,0.0,0.0,0.0,0,0,0,119,362
isolation_forest,holdout,300,1.0,1.0,True,0.99,0.5550047981692919,0.7066228790366722,0.673393510853783,1.0,0.15037593984962405,0.26143790849673204,0.0,20,20,0,133,394
isolation_forest,validation,600,auto,0.75,False,0.9,0.48873914949829733,0.6237161531279178,0.46835857812969545,1.0,0.01680672268907563,0.03305785123966942,0.0,2,2,0,119,362
