candidate_id,split,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,class_weight,roc_auc,average_precision,precision,recall,f1,false_positive_rate,predicted_positive_count,true_positive_count,false_positive_count,positive_count,row_count
34,holdout,180,0.04,7,4,120,1.0,1.0,0.1,1.0,,0.5540099978265595,0.35325855955151464,0.3181818181818182,0.08139534883720931,0.12962962962962962,0.07009345794392523,22,7,15,86,300
35,validation,260,0.025,5,4,90,0.95,0.95,0.0,1.0,,0.7850621600621602,0.7933374377880594,0.9242424242424242,0.42657342657342656,0.583732057416268,0.017361111111111112,66,61,5,143,431
35,holdout,260,0.025,5,4,90,0.95,0.95,0.0,1.0,,0.5852532058248208,0.3568419326541519,0.5,0.10465116279069768,0.17307692307692307,0.04205607476635514,18,9,9,86,300
36,validation,120,0.04,15,4,120,0.8,1.0,0.5,0.5,balanced,0.7209838772338771,0.7284717456051617,0.496,0.43356643356643354,0.4626865671641791,0.21875,125,62,63,143,431
36,holdout,120,0.04,15,4,120,0.8,1.0,0.5,0.5,balanced,0.6022060421647468,0.3805964259058041,0.43478260869565216,0.3488372093023256,0.3870967741935484,0.1822429906542056,69,30,39,86,300
37,validation,400,0.04,5,5,20,0.8,0.95,1.0,1.0,balanced,0.7704691142191142,0.7726842662139495,0.6792452830188679,0.5034965034965035,0.5783132530120482,0.11805555555555555,106,72,34,143,431
37,holdout,400,0.04,5,5,20,0.8,0.95,1.0,1.0,balanced,0.6149206694196914,0.38396668580610444,0.4,0.27906976744186046,0.3287671232876712,0.16822429906542055,60,24,36,86,300
38,validation,400,0.06,31,4,20,0.95,0.95,0.1,5.0,balanced,0.7742812742812744,0.7911276824994152,0.8089887640449438,0.5034965034965035,0.6206896551724138,0.059027777777777776,89,72,17,143,431
38,holdout,400,0.06,31,4,20,0.95,0.95,0.1,5.0,balanced,0.536079113236253,0.32940307083333004,0.40816326530612246,0.23255813953488372,0.2962962962962963,0.13551401869158877,49,20,29,86,300
39,validation,80,0.015,7,2,40,0.95,0.8,1.0,2.0,balanced,0.8128399378399378,0.791149041152118,0.4394904458598726,0.4825174825174825,0.46,0.3055555555555556,157,69,88,143,431
39,holdout,80,0.015,7,2,40,0.95,0.8,1.0,2.0,balanced,0.5874266463812216,0.37098585545791724,0.47368421052631576,0.4186046511627907,0.4444444444444444,0.18691588785046728,76,36,40,86,300
40,validation,400,0.015,31,3,90,0.65,0.8,0.0,5.0,balanced,0.7401175213675213,0.7302272000741026,0.48148148148148145,0.45454545454545453,0.4676258992805755,0.24305555555555555,135,65,70,143,431
40,holdout,400,0.015,31,3,90,0.65,0.8,0.0,5.0,balanced,0.4657683112366877,0.29742407233684537,0.26229508196721313,0.18604651162790697,0.21768707482993196,0.2102803738317757,61,16,45,86,300
41,validation,400,0.04,5,2,20,0.95,0.95,0.0,2.0,,0.7958430458430459,0.7904677566499851,0.8452380952380952,0.4965034965034965,0.6255506607929515,0.04513888888888889,84,71,13,143,431
