feature_set,param_set,feature_count,evaluation_split_column,split,threshold_quantile,threshold_value,row_count,normal_count,pre_fault_count,roc_auc,average_precision,precision,recall,f1,false_positive_rate
contract_195_full,bootstrap_true,195,split_substation_based,train,0.95,0.518636368775197,2021,1380,641,0.651814420402903,0.4984725779143179,0.689922480620155,0.13884555382215288,0.23116883116883116,0.028985507246376812
contract_195_full,bootstrap_true,195,split_substation_based,train,0.975,0.5376209466857782,2021,1380,641,0.651814420402903,0.4984725779143179,0.7666666666666667,0.0717628705148206,0.1312410841654779,0.010144927536231883
contract_195_full,bootstrap_true,195,split_substation_based,train,0.99,0.5469009375338273,2021,1380,641,0.651814420402903,0.4984725779143179,0.8648648648648649,0.0499219968798752,0.0943952802359882,0.0036231884057971015
contract_195_full,bootstrap_true,195,split_substation_based,validation,0.95,0.518636368775197,249,196,53,0.5028879476318829,0.2094831133589569,0.0,0.0,0.0,0.08673469387755102
contract_195_full,bootstrap_true,195,split_substation_based,validation,0.975,0.5376209466857782,249,196,53,0.5028879476318829,0.2094831133589569,0.0,0.0,0.0,0.0663265306122449
contract_195_full,bootstrap_true,195,split_substation_based,validation,0.99,0.5469009375338273,249,196,53,0.5028879476318829,0.2094831133589569,0.0,0.0,0.0,0.02040816326530612
contract_195_full,bootstrap_true,195,split_substation_based,holdout,0.95,0.518636368775197,256,191,65,0.5572291582762787,0.3287884614562182,0.4166666666666667,0.07692307692307693,0.12987012987012986,0.03664921465968586
contract_195_full,bootstrap_true,195,split_substation_based,holdout,0.975,0.5376209466857782,256,191,65,0.5572291582762787,0.3287884614562182,0.375,0.046153846153846156,0.0821917808219178,0.02617801047120419
contract_195_full,bootstrap_true,195,split_substation_based,holdout,0.99,0.5469009375338273,256,191,65,0.5572291582762787,0.3287884614562182,0.3333333333333333,0.03076923076923077,0.056338028169014086,0.020942408376963352
sensor_numeric_only,default_300_auto,137,split_time_based,train,0.95,0.5083126286848996,1770,1263,507,0.6067517151017974,0.4160084200841707,0.488,0.1203155818540434,0.1930379746835443,0.050673000791765635
sensor_numeric_only,default_300_auto,137,split_time_based,train,0.975,0.5224768062912106,1770,1263,507,0.6067517151017974,0.4160084200841707,0.6049382716049383,0.09664694280078895,0.16666666666666666,0.025336500395882817
sensor_numeric_only,default_300_auto,137,split_time_based,train,0.99,0.5410153664161008,1770,1263,507,0.6067517151017974,0.4160084200841707,0.6388888888888888,0.045364891518737675,0.0847145488029466,0.010292953285827395
sensor_numeric_only,default_300_auto,137,split_time_based,validation,0.95,0.5083126286848996,362,243,119,0.5448697997717606,0.36329691725512425,0.0,0.0,0.0,0.0
sensor_numeric_only,default_300_auto,137,split_time_based,validation,0.975,0.5224768062912106,362,243,119,0.5448697997717606,0.36329691725512425,0.0,0.0,0.0,0.0
sensor_numeric_only,default_300_auto,137,split_time_based,validation,0.99,0.5410153664161008,362,243,119,0.5448697997717606,0.36329691725512425,0.0,0.0,0.0,0.0
sensor_numeric_only,default_300_auto,137,split_time_based,holdout,0.95,0.5083126286848996,394,261,133,0.7123844092991098,0.6435393753542842,1.0,0.18045112781954886,0.3057324840764331,0.0
sensor_numeric_only,default_300_auto,137,split_time_based,holdout,0.975,0.5224768062912106,394,261,133,0.7123844092991098,0.6435393753542842,1.0,0.17293233082706766,0.2948717948717949,0.0
