evaluation_split_column,split,threshold_quantile,threshold_value,row_count,normal_count,pre_fault_count,predicted_anomaly_count,predicted_anomaly_rate,roc_auc,average_precision,precision,recall,f1,false_positive_rate,true_positive_count,false_positive_count,false_negative_count,true_negative_count
split_time_based,validation,0.94,0.5127022984586344,362,243,119,0,0.0,0.6127537434726977,0.46715291957309,0.0,0.0,0.0,0.0,0,0,119,243
split_time_based,holdout,0.94,0.5127022984586344,394,261,133,20,0.050761421319796954,0.7152363667790166,0.6929799703112345,1.0,0.15037593984962405,0.26143790849673204,0.0,20,0,113,261
split_time_based,train,0.95,0.5160815367097453,1770,1263,507,126,0.0711864406779661,0.6158984041315486,0.40707710580536116,0.49206349206349204,0.1222879684418146,0.19589257503949448,0.050673000791765635,62,64,445,1199
split_time_based,validation,0.95,0.5160815367097453,362,243,119,0,0.0,0.6127537434726977,0.46715291957309,0.0,0.0,0.0,0.0,0,0,119,243
split_time_based,holdout,0.95,0.5160815367097453,394,261,133,20,0.050761421319796954,0.7152363667790166,0.6929799703112345,1.0,0.15037593984962405,0.26143790849673204,0.0,20,0,113,261
split_time_based,train,0.96,0.5183418737842782,1770,1263,507,107,0.060451977401129946,0.6158984041315486,0.40707710580536116,0.5233644859813084,0.11045364891518737,0.18241042345276873,0.040380047505938245,56,51,451,1212
split_time_based,validation,0.96,0.5183418737842782,362,243,119,0,0.0,0.6127537434726977,0.46715291957309,0.0,0.0,0.0,0.0,0,0,119,243
split_time_based,holdout,0.96,0.5183418737842782,394,261,133,20,0.050761421319796954,0.7152363667790166,0.6929799703112345,1.0,0.15037593984962405,0.26143790849673204,0.0,20,0,113,261
split_time_based,train,0.975,0.5244790383958161,1770,1263,507,71,0.04011299435028248,0.6158984041315486,0.40707710580536116,0.5492957746478874,0.07692307692307693,0.13494809688581316,0.025336500395882817,39,32,468,1231
split_time_based,validation,0.975,0.5244790383958161,362,243,119,0,0.0,0.6127537434726977,0.46715291957309,0.0,0.0,0.0,0.0,0,0,119,243
split_time_based,holdout,0.975,0.5244790383958161,394,261,133,18,0.04568527918781726,0.7152363667790166,0.6929799703112345,1.0,0.13533834586466165,0.23841059602649006,0.0,18,0,115,261
split_time_based,train,0.98,0.5275386546330987,1770,1263,507,63,0.03559322033898305,0.6158984041315486,0.40707710580536116,0.5873015873015873,0.07297830374753451,0.12982456140350876,0.02058590657165479,37,26,470,1237
split_time_based,validation,0.98,0.5275386546330987,362,243,119,0,0.0,0.6127537434726977,0.46715291957309,0.0,0.0,0.0,0.0,0,0,119,243
split_time_based,holdout,0.98,0.5275386546330987,394,261,133,18,0.04568527918781726,0.7152363667790166,0.6929799703112345,1.0,0.13533834586466165,0.23841059602649006,0.0,18,0,115,261
split_time_based,train,0.99,0.5357784270858823,1770,1263,507,34,0.0192090395480226,0.6158984041315486,0.40707710580536116,0.6176470588235294,0.04142011834319527,0.07763401109057301,0.010292953285827395,21,13,486,1250
split_time_based,validation,0.99,0.5357784270858823,362,243,119,0,0.0,0.6127537434726977,0.46715291957309,0.0,0.0,0.0,0.0,0,0,119,243
split_time_based,holdout,0.99,0.5357784270858823,394,261,133,17,0.04314720812182741,0.7152363667790166,0.6929799703112345,1.0,0.12781954887218044,0.22666666666666666,0.0,17,0,116,261
split_time_based,train,0.995,0.5385141334597663,1770,1263,507,26,0.014689265536723164,0.6158984041315486,0.40707710580536116,0.7307692307692307,0.03747534516765286,0.07129455909943715,0.0055423594615993665,19,7,488,1256
split_time_based,validation,0.995,0.5385141334597663,362,243,119,0,0.0,0.6127537434726977,0.46715291957309,0.0,0.0,0.0,0.0,0,0,119,243
split_time_based,holdout,0.995,0.5385141334597663,394,261,133,16,0.04060913705583756,0.7152363667790166,0.6929799703112345,1.0,0.12030075187969924,0.21476510067114093,0.0,16,0,117,261
split_substation_based,train,0.85,0.4782489945261593,2021,1380,641,316,0.15635823849579417,0.6520959099233534,0.5040015307580781,0.5537974683544303,0.27301092043681746,0.3657262277951933,0.10217391304347827,175,141,466,1239
split_substation_based,validation,0.85,0.4782489945261593,249,196,53,69,0.27710843373493976,0.5219484020023104,0.23083319248513626,0.2898550724637681,0.37735849056603776,0.32786885245901637,0.25,20,49,33,147
split_substation_based,holdout,0.85,0.4782489945261593,256,191,65,19,0.07421875,0.555618203785743,0.3304512812001653,0.42105263157894735,0.12307692307692308,0.19047619047619047,0.05759162303664921,8,11,57,180
split_substation_based,train,0.9,0.4908943839229221,2021,1380,641,232,0.11479465611083622,0.6520959099233534,0.5040015307580781,0.625,0.22620904836193448,0.3321878579610538,0.06304347826086956,145,87,496,1293
split_substation_based,validation,0.9,0.4908943839229221,249,196,53,46,0.18473895582329317,0.5219484020023104,0.23083319248513626,0.30434782608695654,0.2641509433962264,0.2828282828282828,0.16326530612244897,14,32,39,164
