model,split,candidate_id,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,class_weight,row_count,accuracy,macro_f1,weighted_f1,top2_accuracy,bucket_distance_mae
leadtime_lgbm,validation,56,150,0.03,15,4,20,0.9,0.9,0.1,1.0,balanced,143,0.4125874125874126,0.3083725574097846,0.3756773820958673,0.7902097902097902,0.7482517482517482
leadtime_lgbm,holdout,56,150,0.03,15,4,20,0.9,0.9,0.1,1.0,balanced,86,0.6511627906976745,0.4419538619594658,0.6415841842220151,0.9651162790697675,0.38372093023255816
leadtime_lgbm,validation,57,150,0.03,15,4,30,0.8,0.8,0.1,1.0,balanced,143,0.48951048951048953,0.3629394013538863,0.443072953471779,0.7902097902097902,0.6433566433566433
leadtime_lgbm,holdout,57,150,0.03,15,4,30,0.8,0.8,0.1,1.0,balanced,86,0.7209302325581395,0.4890756302521009,0.7109439124487004,0.9651162790697675,0.313953488372093
leadtime_lgbm,validation,58,150,0.03,15,4,30,0.8,0.9,0.1,1.0,balanced,143,0.4755244755244755,0.35249979610145993,0.4308783949106924,0.7902097902097902,0.6573426573426573
leadtime_lgbm,holdout,58,150,0.03,15,4,30,0.8,0.9,0.1,1.0,balanced,86,0.7093023255813954,0.4809937424115065,0.6997530413704575,0.9651162790697675,0.32558139534883723
leadtime_lgbm,validation,59,150,0.03,15,4,30,0.9,0.8,0.1,1.0,balanced,143,0.48951048951048953,0.3629394013538863,0.443072953471779,0.7902097902097902,0.6433566433566433
leadtime_lgbm,holdout,59,150,0.03,15,4,30,0.9,0.8,0.1,1.0,balanced,86,0.7209302325581395,0.4890756302521009,0.7109439124487004,0.9651162790697675,0.313953488372093
leadtime_lgbm,validation,60,150,0.03,15,4,30,0.9,0.9,0.1,1.0,balanced,143,0.4755244755244755,0.35249979610145993,0.4308783949106924,0.7902097902097902,0.6573426573426573
leadtime_lgbm,holdout,60,150,0.03,15,4,30,0.9,0.9,0.1,1.0,balanced,86,0.7093023255813954,0.4809937424115065,0.6997530413704575,0.9651162790697675,0.32558139534883723
leadtime_lgbm,validation,61,150,0.03,15,-1,10,0.8,0.8,0.1,1.0,balanced,143,0.4125874125874126,0.30755751166534223,0.36705100633213605,0.7902097902097902,0.7202797202797203
leadtime_lgbm,holdout,61,150,0.03,15,-1,10,0.8,0.8,0.1,1.0,balanced,86,0.6976744186046512,0.4728530043921129,0.6885207424648425,0.9651162790697675,0.3372093023255814
leadtime_lgbm,validation,62,150,0.03,15,-1,10,0.8,0.9,0.1,1.0,balanced,143,0.4195804195804196,0.3107413750917543,0.3821001606663461,0.7902097902097902,0.7132867132867133
leadtime_lgbm,holdout,62,150,0.03,15,-1,10,0.8,0.9,0.1,1.0,balanced,86,0.6976744186046512,0.4728530043921129,0.6885207424648425,0.9651162790697675,0.3372093023255814
leadtime_lgbm,validation,63,150,0.03,15,-1,10,0.9,0.8,0.1,1.0,balanced,143,0.4125874125874126,0.30755751166534223,0.36705100633213605,0.7902097902097902,0.7202797202797203
leadtime_lgbm,holdout,63,150,0.03,15,-1,10,0.9,0.8,0.1,1.0,balanced,86,0.6976744186046512,0.4728530043921129,0.6885207424648425,0.9651162790697675,0.3372093023255814
leadtime_lgbm,validation,64,150,0.03,15,-1,10,0.9,0.9,0.1,1.0,balanced,143,0.4195804195804196,0.3107413750917543,0.3821001606663461,0.7902097902097902,0.7132867132867133
leadtime_lgbm,holdout,64,150,0.03,15,-1,10,0.9,0.9,0.1,1.0,balanced,86,0.6976744186046512,0.4728530043921129,0.6885207424648425,0.9651162790697675,0.3372093023255814
leadtime_lgbm,validation,65,150,0.03,15,-1,20,0.8,0.8,0.1,1.0,balanced,143,0.4195804195804196,0.3129775658658842,0.37546535620990046,0.7902097902097902,0.7202797202797203
leadtime_lgbm,holdout,65,150,0.03,15,-1,20,0.8,0.8,0.1,1.0,balanced,86,0.6744186046511628,0.45636704119850185,0.6658936503788868,0.9651162790697675,0.36046511627906974
leadtime_lgbm,validation,66,150,0.03,15,-1,20,0.8,0.9,0.1,1.0,balanced,143,0.4405594405594406,0.3284274809160305,0.3940280787914376,0.7902097902097902,0.6923076923076923
leadtime_lgbm,holdout,66,150,0.03,15,-1,20,0.8,0.9,0.1,1.0,balanced,86,0.686046511627907,0.4638537271448664,0.6771857521342359,0.9651162790697675,0.3488372093023256
leadtime_lgbm,validation,67,150,0.03,15,-1,20,0.9,0.8,0.1,1.0,balanced,143,0.4195804195804196,0.3129775658658842,0.37546535620990046,0.7902097902097902,0.7202797202797203
