split_strategy,safe_feature,median
split_regime_based,f_0125,88.0
split_regime_based,f_0126,0.0
split_regime_based,f_0127,0.0
split_regime_based,f_0128,0.7120003121098024
split_regime_based,f_0129,36.0
split_regime_based,f_0130,-0.04999999999999
split_regime_based,f_0131,59.0
split_regime_based,f_0132,59.325
split_regime_based,f_0133,66.2
split_regime_based,f_0134,59.226388888888884
split_regime_based,f_0135,53.1
split_regime_based,f_0136,2.1854896642146153
split_regime_based,f_0137,0.0
split_regime_based,f_0138,0.0
split_regime_based,f_0139,0.0
split_regime_based,f_0140,0.1000000000000014
split_regime_based,f_0141,3.700000000000003
split_regime_based,f_0142,0.1111111111111087
split_regime_based,f_0143,0.0
split_regime_based,f_0144,59.650000000000006
split_regime_based,f_0145,59.985
split_regime_based,f_0146,64.75
split_regime_based,f_0147,59.64861111111111
split_regime_based,f_0148,54.625
split_regime_based,f_0149,1.3930146076903402
split_regime_based,f_0150,0.0550000000000032
split_regime_based,f_0151,42.2
split_regime_based,f_0152,38.55
split_regime_based,f_0153,56.1
split_regime_based,f_0154,32.16319444444444
split_regime_based,f_0155,16.2
split_regime_based,f_0156,0.0
split_regime_based,f_0157,0.0
split_regime_based,f_0158,9.606589461627788
split_regime_based,f_0159,-0.004999999999999
split_regime_based,f_0160,58.9
split_regime_based,f_0161,58.875
split_regime_based,f_0162,60.9
split_regime_based,f_0163,58.16111111111111
split_regime_based,f_0164,55.150000000000006
split_regime_based,f_0165,0.0
split_regime_based,f_0166,0.0
split_regime_based,f_0167,1.3527774006071067
split_regime_based,f_0168,-0.0200000000000031
split_regime_based,f_0169,60.9
split_regime_based,f_0170,60.9
split_regime_based,f_0171,62.1
split_regime_based,f_0172,60.56666666666667
split_regime_based,f_0173,57.9
split_regime_based,f_0174,0.0
split_regime_based,f_0175,0.0
split_regime_based,f_0176,1.170296224879947
split_regime_based,f_0177,0.5499999999999972
split_regime_based,f_0178,3.504999999999999
split_regime_based,f_0179,0.3375
split_regime_based,f_0180,0.0
split_regime_based,f_0181,60.0
split_regime_based,f_0182,60.0
split_regime_based,f_0183,60.0
split_regime_based,f_0184,60.0
split_regime_based,f_0185,60.0
split_regime_based,f_0186,0.0
split_regime_based,f_0187,0.0
split_regime_based,f_0188,0.0
split_regime_based,f_0189,3.0
split_regime_based,f_0190,161.0
split_regime_based,f_0191,12.0
split_regime_based,f_0192,1.0
split_regime_based,f_0193,0.0
split_regime_based,f_0194,6.0
split_regime_based,f_0195,0.42751804483513145
split_regime_based,f_0196,0.03010671733869095
split_regime_based,f_0197,0.03010671733869095
split_regime_based,f_0198,0.7710502386105267
split_regime_based,f_0199,0.3143086286707264
split_regime_based,f_0200,0.6254741027889379
split_regime_based,f_0201,0.0089646835804731
split_regime_based,f_0202,0.0
split_regime_based,f_0203,0.0
split_regime_based,f_0204,1.0
split_regime_based,f_0205,0.0
split_regime_based,f_0206,0.0
split_regime_based,f_0207,1.0
split_regime_based,f_0208,0.0
