split,model_key,n,mae,rmse,r2,spearman,pre_fault_count,precision@10,recall@10,ndcg@10,precision@20,recall@20,ndcg@20,precision@50,recall@50,ndcg@50,precision@100,recall@100,ndcg@100,precision@R,recall@R,ndcg@R,action_threshold,tp,fp,fn,tn,action_precision,action_recall,action_f1,action_specificity,action_rate,split_strategy,sampling_strategy,selected_action_threshold,best_iteration,selection_score,train_rows_effective
validation,expanded_lgbm_04,249,17.066552623812672,27.300155008551904,0.32182419491545244,0.5748266459356722,53,1.0,0.18867924528301888,1.0,0.7,0.2641509433962264,0.7664072064136328,0.72,0.6792452830188679,0.7597640387431752,0.45,0.8490566037735849,0.8548728262091058,0.6792452830188679,0.6792452830188679,0.7364218722015655,61.25,36,7,17,189,0.8372093023255814,0.6792452830188679,0.7499999999999999,0.9642857142857143,0.17269076305220885,split_substation_based,combined_context_resampled,61.25,178,2.252302460528234,3537
validation,expanded_lgbm_06,249,17.618715252376422,27.614823395673877,0.3061004497361114,0.592012051072646,53,1.0,0.18867924528301888,1.0,0.75,0.2830188679245283,0.7869523151525202,0.72,0.6792452830188679,0.7615225710563395,0.49,0.9245283018867925,0.8933969560756084,0.6792452830188679,0.6792452830188679,0.7381263772746534,58.25,36,13,17,183,0.7346938775510204,0.6792452830188679,0.7058823529411764,0.9336734693877551,0.19678714859437751,split_substation_based,combined_context_resampled,58.25,308,2.2468138164472564,3537
validation,expanded_lgbm_03,249,18.15312284120183,28.70567967472994,0.2501960322018799,0.5650895669937291,53,1.0,0.18867924528301888,1.0,0.75,0.2830188679245283,0.7890551137102952,0.7,0.660377358490566,0.7506019489171782,0.46,0.8679245283018868,0.856099087816502,0.6792452830188679,0.6792452830188679,0.7378311475760506,58.5,35,13,18,183,0.7291666666666666,0.660377358490566,0.693069306930693,0.9336734693877551,0.1927710843373494,split_substation_based,combined_context_resampled,58.5,222,2.18358619232576,3537
validation,expanded_lgbm_02,249,18.467727815339224,28.538455904161417,0.25890649196814797,0.5548014743263381,53,0.9,0.16981132075471697,0.9337457765456111,0.7,0.2641509433962264,0.7607958630014875,0.72,0.6792452830188679,0.7504238748852776,0.44,0.8301886792452831,0.8268058715475258,0.6792452830188679,0.6792452830188679,0.7273686654108353,62.25,36,12,17,184,0.75,0.6792452830188679,0.712871287128713,0.9387755102040817,0.1927710843373494,split_substation_based,combined_context_resampled,62.25,174,2.173258219427683,3537
validation,expanded_lgbm_03,401,26.820817804452616,29.613534474627876,0.23476584614334617,0.6273932588065485,107,1.0,0.09345794392523364,0.9558424960378642,0.9,0.16822429906542055,0.9062989270374501,0.7,0.32710280373831774,0.752407773409343,0.7,0.6542056074766355,0.7436508401551821,0.6915887850467289,0.6915887850467289,0.7516760790173177,36.25,90,60,6,245,0.6,0.9375,0.7317073170731707,0.8032786885245902,0.3740648379052369,split_regime_based,baseline_no_weight,36.25,17,2.115578590004219,1784
validation,expanded_lgbm_04,401,27.1282064664533,29.891824421695066,0.22031585927899744,0.629051966219481,107,1.0,0.09345794392523364,0.9750562664862176,1.0,0.18691588785046728,0.9601722438546131,0.7,0.32710280373831774,0.7800665027598987,0.65,0.6074766355140186,0.7367520182690032,0.6635514018691588,0.6635514018691588,0.7562658757825983,33.25,90,59,6,246,0.6040268456375839,0.9375,0.7346938775510204,0.8065573770491803,0.371571072319202,split_regime_based,baseline_no_weight,33.25,14,2.094836889839249,1784
validation,expanded_lgbm_05,401,27.725596883435013,30.403778524270592,0.1933800191841354,0.6278480692392241,107,1.0,0.09345794392523364,0.863384983720787,1.0,0.18691588785046728,0.8522893939094245,0.76,0.35514018691588783,0.7632829967604412,0.69,0.6448598130841121,0.7367129177420209,0.6822429906542056,0.6822429906542056,0.7420619043005614,34.75,89,63,7,242,0.5855263157894737,0.9270833333333334,0.717741935483871,0.7934426229508197,0.3790523690773067,split_regime_based,baseline_no_weight,34.75,14,2.081592364465333,1784
validation,expanded_lgbm_01,401,26.625584409517874,29.562803355406345,0.2373854546014471,0.6308932408719763,107,1.0,0.09345794392523364,1.0,1.0,0.18691588785046728,0.9751341643061544,0.74,0.34579439252336447,0.7677238623008134,0.67,0.6261682242990654,0.7260956761920481,0.6822429906542056,0.6822429906542056,0.7459380813899514,35.25,90,64,6,241,0.5844155844155844,0.9375,0.7200000000000001,0.7901639344262295,0.38403990024937656,split_regime_based,baseline_no_weight,35.25,14,2.0809319428116373,1784
validation,expanded_lgbm_06,401,26.4937579493329,29.278009359244024,0.2520080124235108,0.6118780958408431,107,1.0,0.09345794392523364,1.0,1.0,0.18691588785046728,0.9764647720909206,0.56,0.2616822429906542,0.7003080186258618,0.65,0.6074766355140186,0.7014677226570941,0.6635514018691588,0.6635514018691588,0.7216746858552945,34.75,89,55,7,250,0.6180555555555556,0.9270833333333334,0.7416666666666667,0.819672131147541,0.35910224438902744,split_regime_based,baseline_no_weight,34.75,16,2.0712623611476517,1784
validation,expanded_lgbm_02,401,27.410238393643713,30.200909138129667,0.20410845945428335,0.5966170735711556,107,1.0,0.09345794392523364,0.9750562664862176,0.9,0.16822429906542055,0.8953708457484755,0.66,0.308411214953271,0.7142520024108219,0.61,0.5700934579439252,0.6787513532652727,0.616822429906542,0.616822429906542,0.6937022928411912,35.5,86,63,10,242,0.5771812080536913,0.8958333333333334,0.7020408163265307,0.7934426229508197,0.371571072319202,split_regime_based,baseline_no_weight,35.5,14,1.9660870845113292,1784
