safe_feature,original_feature,split_strategy,sampling_strategy,selected_model_key,importance
f_0141,hc1_supply_temperature_gap__max_abs,split_time_based,baseline_no_weight,expanded_lgbm_01,6
f_0142,hc1_supply_temperature_gap__mean,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0143,s_hc1_supply_temperature_setpoint__delta,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0144,s_hc1_supply_temperature_setpoint__first,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0145,s_hc1_supply_temperature_setpoint__last,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0146,s_hc1_supply_temperature_setpoint__max,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0147,s_hc1_supply_temperature_setpoint__mean,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0148,s_hc1_supply_temperature_setpoint__min,split_time_based,baseline_no_weight,expanded_lgbm_01,5
f_0149,s_hc1_supply_temperature_setpoint__std,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0150,s_dhw_lower_storage_temperature__delta,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0151,s_dhw_lower_storage_temperature__first,split_time_based,baseline_no_weight,expanded_lgbm_01,6
f_0152,s_dhw_lower_storage_temperature__last,split_time_based,baseline_no_weight,expanded_lgbm_01,2
f_0153,s_dhw_lower_storage_temperature__max,split_time_based,baseline_no_weight,expanded_lgbm_01,2
f_0154,s_dhw_lower_storage_temperature__mean,split_time_based,baseline_no_weight,expanded_lgbm_01,1
f_0155,s_dhw_lower_storage_temperature__min,split_time_based,baseline_no_weight,expanded_lgbm_01,2
f_0156,s_dhw_lower_storage_temperature__missing_count,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0157,s_dhw_lower_storage_temperature__missing_rate,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0158,s_dhw_lower_storage_temperature__std,split_time_based,baseline_no_weight,expanded_lgbm_01,1
f_0159,s_dhw_upper_storage_temperature__delta,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0160,s_dhw_upper_storage_temperature__first,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0161,s_dhw_upper_storage_temperature__last,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0162,s_dhw_upper_storage_temperature__max,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0163,s_dhw_upper_storage_temperature__mean,split_time_based,baseline_no_weight,expanded_lgbm_01,2
f_0164,s_dhw_upper_storage_temperature__min,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0165,s_dhw_upper_storage_temperature__missing_count,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0166,s_dhw_upper_storage_temperature__missing_rate,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0167,s_dhw_upper_storage_temperature__std,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0168,s_dhw_supply_temperature__delta,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0169,s_dhw_supply_temperature__first,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0170,s_dhw_supply_temperature__last,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0171,s_dhw_supply_temperature__max,split_time_based,baseline_no_weight,expanded_lgbm_01,2
f_0172,s_dhw_supply_temperature__mean,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0173,s_dhw_supply_temperature__min,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0174,s_dhw_supply_temperature__missing_count,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0175,s_dhw_supply_temperature__missing_rate,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0176,s_dhw_supply_temperature__std,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0177,dhw_supply_temperature_gap__last,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0178,dhw_supply_temperature_gap__max_abs,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0179,dhw_supply_temperature_gap__mean,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0180,s_dhw_supply_temperature_setpoint__delta,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0181,s_dhw_supply_temperature_setpoint__first,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0182,s_dhw_supply_temperature_setpoint__last,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0183,s_dhw_supply_temperature_setpoint__max,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0184,s_dhw_supply_temperature_setpoint__mean,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0185,s_dhw_supply_temperature_setpoint__min,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0186,s_dhw_supply_temperature_setpoint__missing_count,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0187,s_dhw_supply_temperature_setpoint__missing_rate,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0188,s_dhw_supply_temperature_setpoint__std,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0189,day_of_week,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0190,day_of_year,split_time_based,baseline_no_weight,expanded_lgbm_01,5
f_0191,hour_of_day,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0192,is_heating_season,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0193,is_weekend,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0194,month,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0195,anomaly_score,split_time_based,baseline_no_weight,expanded_lgbm_01,6
f_0196,risk_score,split_time_based,baseline_no_weight,expanded_lgbm_01,75
f_0197,risk_probability,split_time_based,baseline_no_weight,expanded_lgbm_01,17
f_0198,predicted_lead_time_confidence,split_time_based,baseline_no_weight,expanded_lgbm_01,1
f_0199,leadtime_prob_0-24h,split_time_based,baseline_no_weight,expanded_lgbm_01,42
f_0200,leadtime_prob_1-3d,split_time_based,baseline_no_weight,expanded_lgbm_01,16
f_0201,leadtime_prob_3-7d,split_time_based,baseline_no_weight,expanded_lgbm_01,15
f_0202,risk_level_calibrated_critical,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0203,risk_level_calibrated_high,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0204,risk_level_calibrated_low,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0205,risk_level_calibrated_medium,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0206,predicted_lead_time_bucket_0-24h,split_time_based,baseline_no_weight,expanded_lgbm_01,4
f_0207,predicted_lead_time_bucket_1-3d,split_time_based,baseline_no_weight,expanded_lgbm_01,1
f_0208,predicted_lead_time_bucket_3-7d,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0000,dow_cos,split_time_based,severity_weighted,expanded_lgbm_02,30
f_0001,dow_sin,split_time_based,severity_weighted,expanded_lgbm_02,22
f_0002,doy_cos,split_time_based,severity_weighted,expanded_lgbm_02,112
f_0003,doy_sin,split_time_based,severity_weighted,expanded_lgbm_02,167
f_0004,hour_cos,split_time_based,severity_weighted,expanded_lgbm_02,5
f_0005,hour_sin,split_time_based,severity_weighted,expanded_lgbm_02,4
f_0006,configuration_type__is__missing,split_time_based,severity_weighted,expanded_lgbm_02,0
f_0007,configuration_type__is__sh,split_time_based,severity_weighted,expanded_lgbm_02,0
f_0008,configuration_type__is__sh_dhw,split_time_based,severity_weighted,expanded_lgbm_02,5
f_0009,configuration_type__is__sh_dhw_with_sub_circuits,split_time_based,severity_weighted,expanded_lgbm_02,0
f_0010,configuration_type__is__sh_with_buffer_tank,split_time_based,severity_weighted,expanded_lgbm_02,17
f_0011,configuration_type__is__sh_with_sub_circuits,split_time_based,severity_weighted,expanded_lgbm_02,0
f_0012,manufacturer__is__manufacturer_1,split_time_based,severity_weighted,expanded_lgbm_02,0
f_0013,manufacturer__is__manufacturer_2,split_time_based,severity_weighted,expanded_lgbm_02,0
f_0014,s_dhw_3-way_valve_status__dominant__is__aus,split_time_based,severity_weighted,expanded_lgbm_02,1
f_0015,s_dhw_3-way_valve_status__dominant__is__ein,split_time_based,severity_weighted,expanded_lgbm_02,0
f_0016,s_dhw_3-way_valve_status__dominant__is__missing,split_time_based,severity_weighted,expanded_lgbm_02,8
f_0017,s_dhw_control_unit_mode__dominant__is__missing,split_time_based,severity_weighted,expanded_lgbm_02,13
f_0018,s_dhw_control_unit_mode__dominant__is__standby,split_time_based,severity_weighted,expanded_lgbm_02,4
f_0019,s_dhw_control_unit_mode__dominant__is__tag,split_time_based,severity_weighted,expanded_lgbm_02,0
f_0020,s_hc1.1_control_unit_mode__dominant__is__missing,split_time_based,severity_weighted,expanded_lgbm_02,0
f_0021,s_hc1.1_control_unit_mode__dominant__is__nacht,split_time_based,severity_weighted,expanded_lgbm_02,0
