scope,date_filter,min_substations_per_date,score,description,top_n_substations_per_day,ranking_dates,average_substations_per_date,max_substations_per_date,total_station_days,total_pre_fault_station_days,normal_station_days,total_fault_events,selected_station_days,pre_fault_station_day_hits,precision_at_n,station_day_recall_at_n,event_recall_at_n,dates_with_pre_fault,prefault_date_hits,prefault_date_hit_rate,urgent_station_day_hits,urgent_station_day_recall_at_n,normal_false_station_days,normal_false_station_day_rate,distinct_substations_selected,median_pre_fault_rank
validation,all_dates,1,raw_ae_score_ratio_q999_max,raw point AE max score ratio to q999,1,110,1.290909090909091,3,142,46,96,11,110,39,0.35454545454545455,0.8478260869565217,1.0,41,39,0.9512195121951219,18,0.9,71,0.7395833333333334,30,1.0
validation,all_dates,1,raw_ae_score_ratio_q999_max,raw point AE max score ratio to q999,3,110,1.290909090909091,3,142,46,96,11,142,46,0.323943661971831,1.0,1.0,41,41,1.0,20,1.0,96,1.0,31,1.0
validation,rankable_2plus,2,priority_score,final rule-based priority score,1,27,2.185185185185185,3,59,12,47,4,27,7,0.25925925925925924,0.5833333333333334,1.0,7,7,1.0,3,0.6,20,0.425531914893617,11,1.0
validation,rankable_2plus,2,priority_score,final rule-based priority score,3,27,2.185185185185185,3,59,12,47,4,59,12,0.2033898305084746,1.0,1.0,7,7,1.0,5,1.0,47,1.0,16,1.0
validation,rankable_2plus,2,risk_score,risk probability plus temporal smoothing,1,27,2.185185185185185,3,59,12,47,4,27,6,0.2222222222222222,0.5,0.75,7,6,0.8571428571428571,2,0.4,21,0.44680851063829785,11,1.5
validation,rankable_2plus,2,risk_score,risk probability plus temporal smoothing,3,27,2.185185185185185,3,59,12,47,4,59,12,0.2033898305084746,1.0,1.0,7,7,1.0,5,1.0,47,1.0,16,1.5
validation,rankable_2plus,2,anomaly_ensemble_score,Mahalanobis + IsolationForest anomaly ensemble,1,27,2.185185185185185,3,59,12,47,4,27,5,0.18518518518518517,0.4166666666666667,0.75,7,5,0.7142857142857143,1,0.2,22,0.46808510638297873,14,2.0
validation,rankable_2plus,2,anomaly_ensemble_score,Mahalanobis + IsolationForest anomaly ensemble,3,27,2.185185185185185,3,59,12,47,4,59,12,0.2033898305084746,1.0,1.0,7,7,1.0,5,1.0,47,1.0,16,2.0
validation,rankable_2plus,2,mw_anomaly_context_score,1h/3h/6h/12h multi-window anomaly context score,1,27,2.185185185185185,3,59,12,47,4,27,6,0.2222222222222222,0.5,1.0,7,6,0.8571428571428571,2,0.4,21,0.44680851063829785,11,1.5
validation,rankable_2plus,2,mw_anomaly_context_score,1h/3h/6h/12h multi-window anomaly context score,3,27,2.185185185185185,3,59,12,47,4,59,12,0.2033898305084746,1.0,1.0,7,7,1.0,5,1.0,47,1.0,16,1.5
validation,rankable_2plus,2,multi_horizon_persistence_score,24h/3d/7d persistence score,1,27,2.185185185185185,3,59,12,47,4,27,6,0.2222222222222222,0.5,0.25,7,6,0.8571428571428571,2,0.4,21,0.44680851063829785,9,1.5
validation,rankable_2plus,2,multi_horizon_persistence_score,24h/3d/7d persistence score,3,27,2.185185185185185,3,59,12,47,4,59,12,0.2033898305084746,1.0,1.0,7,7,1.0,5,1.0,47,1.0,16,1.5
validation,rankable_2plus,2,raw_ae_score_ratio_q999_max,raw point AE max score ratio to q999,1,27,2.185185185185185,3,59,12,47,4,27,5,0.18518518518518517,0.4166666666666667,0.5,7,5,0.7142857142857143,3,0.6,22,0.46808510638297873,14,2.0
validation,rankable_2plus,2,raw_ae_score_ratio_q999_max,raw point AE max score ratio to q999,3,27,2.185185185185185,3,59,12,47,4,59,12,0.2033898305084746,1.0,1.0,7,7,1.0,5,1.0,47,1.0,16,2.0
validation,rankable_3plus,3,priority_score,final rule-based priority score,1,5,3.0,3,15,4,11,2,5,2,0.4,0.5,0.5,2,2,1.0,0,,3,0.2727272727272727,3,1.5
validation,rankable_3plus,3,priority_score,final rule-based priority score,3,5,3.0,3,15,4,11,2,15,4,0.26666666666666666,1.0,1.0,2,2,1.0,0,,11,1.0,6,1.5
validation,rankable_3plus,3,risk_score,risk probability plus temporal smoothing,1,5,3.0,3,15,4,11,2,5,2,0.4,0.5,0.5,2,2,1.0,0,,3,0.2727272727272727,3,1.5
validation,rankable_3plus,3,risk_score,risk probability plus temporal smoothing,3,5,3.0,3,15,4,11,2,15,4,0.26666666666666666,1.0,1.0,2,2,1.0,0,,11,1.0,6,1.5
validation,rankable_3plus,3,anomaly_ensemble_score,Mahalanobis + IsolationForest anomaly ensemble,1,5,3.0,3,15,4,11,2,5,2,0.4,0.5,1.0,2,2,1.0,0,,3,0.2727272727272727,5,2.0
validation,rankable_3plus,3,anomaly_ensemble_score,Mahalanobis + IsolationForest anomaly ensemble,3,5,3.0,3,15,4,11,2,15,4,0.26666666666666666,1.0,1.0,2,2,1.0,0,,11,1.0,6,2.0
validation,rankable_3plus,3,mw_anomaly_context_score,1h/3h/6h/12h multi-window anomaly context score,1,5,3.0,3,15,4,11,2,5,2,0.4,0.5,0.5,2,2,1.0,0,,3,0.2727272727272727,2,2.0
validation,rankable_3plus,3,mw_anomaly_context_score,1h/3h/6h/12h multi-window anomaly context score,3,5,3.0,3,15,4,11,2,15,4,0.26666666666666666,1.0,1.0,2,2,1.0,0,,11,1.0,6,2.0
validation,rankable_3plus,3,multi_horizon_persistence_score,24h/3d/7d persistence score,1,5,3.0,3,15,4,11,2,5,2,0.4,0.5,0.5,2,2,1.0,0,,3,0.2727272727272727,3,1.5
validation,rankable_3plus,3,multi_horizon_persistence_score,24h/3d/7d persistence score,3,5,3.0,3,15,4,11,2,15,4,0.26666666666666666,1.0,1.0,2,2,1.0,0,,11,1.0,6,1.5
validation,rankable_3plus,3,raw_ae_score_ratio_q999_max,raw point AE max score ratio to q999,1,5,3.0,3,15,4,11,2,5,2,0.4,0.5,0.5,2,2,1.0,0,,3,0.2727272727272727,3,2.0
validation,rankable_3plus,3,raw_ae_score_ratio_q999_max,raw point AE max score ratio to q999,3,5,3.0,3,15,4,11,2,15,4,0.26666666666666666,1.0,1.0,2,2,1.0,0,,11,1.0,6,2.0
