variant,threshold,rows,positives,predicted_positive,predicted_positive_rate,precision,recall,f1,false_positive_rate,false_positive_count,true_positive_count
risk_gated_urgency_x8,58.5,300,86,34,0.11333333333333333,1.0,0.3953488372093023,0.5666666666666667,0.0,0,34
risk_gated_urgency_x8,59.0,300,86,31,0.10333333333333333,1.0,0.36046511627906974,0.5299145299145299,0.0,0,31
risk_gated_urgency_x8,59.5,300,86,31,0.10333333333333333,1.0,0.36046511627906974,0.5299145299145299,0.0,0,31
risk_gated_urgency_x8,60.0,300,86,30,0.1,1.0,0.3488372093023256,0.5172413793103449,0.0,0,30
risk_gated_urgency_x8,60.5,300,86,30,0.1,1.0,0.3488372093023256,0.5172413793103449,0.0,0,30
risk_gated_urgency_x8,61.0,300,86,28,0.09333333333333334,1.0,0.32558139534883723,0.49122807017543857,0.0,0,28
risk_gated_urgency_x8,61.5,300,86,28,0.09333333333333334,1.0,0.32558139534883723,0.49122807017543857,0.0,0,28
risk_gated_urgency_x8,62.0,300,86,27,0.09,1.0,0.313953488372093,0.4778761061946903,0.0,0,27
risk_gated_urgency_x8,62.5,300,86,27,0.09,1.0,0.313953488372093,0.4778761061946903,0.0,0,27
risk_gated_urgency_x8,63.0,300,86,26,0.08666666666666667,1.0,0.3023255813953488,0.4642857142857143,0.0,0,26
risk_gated_urgency_x8,63.5,300,86,26,0.08666666666666667,1.0,0.3023255813953488,0.4642857142857143,0.0,0,26
risk_gated_urgency_x8,64.0,300,86,26,0.08666666666666667,1.0,0.3023255813953488,0.4642857142857143,0.0,0,26
risk_gated_urgency_x8,64.5,300,86,26,0.08666666666666667,1.0,0.3023255813953488,0.4642857142857143,0.0,0,26
risk_gated_urgency_x8,65.0,300,86,25,0.08333333333333333,1.0,0.29069767441860467,0.45045045045045046,0.0,0,25
risk_gated_urgency_x8,65.5,300,86,25,0.08333333333333333,1.0,0.29069767441860467,0.45045045045045046,0.0,0,25
risk_gated_urgency_x8,66.0,300,86,25,0.08333333333333333,1.0,0.29069767441860467,0.45045045045045046,0.0,0,25
risk_gated_urgency_x8,66.5,300,86,25,0.08333333333333333,1.0,0.29069767441860467,0.45045045045045046,0.0,0,25
risk_gated_urgency_x8,67.0,300,86,25,0.08333333333333333,1.0,0.29069767441860467,0.45045045045045046,0.0,0,25
risk_gated_urgency_x8,67.5,300,86,25,0.08333333333333333,1.0,0.29069767441860467,0.45045045045045046,0.0,0,25
risk_gated_urgency_x8,68.0,300,86,25,0.08333333333333333,1.0,0.29069767441860467,0.45045045045045046,0.0,0,25
risk_gated_urgency_x8,68.5,300,86,25,0.08333333333333333,1.0,0.29069767441860467,0.45045045045045046,0.0,0,25
risk_gated_urgency_x8,69.0,300,86,24,0.08,1.0,0.27906976744186046,0.43636363636363634,0.0,0,24
risk_gated_urgency_x8,69.5,300,86,24,0.08,1.0,0.27906976744186046,0.43636363636363634,0.0,0,24
risk_gated_urgency_x8,70.0,300,86,18,0.06,1.0,0.20930232558139536,0.34615384615384615,0.0,0,18
risk_gated_urgency_x8,70.5,300,86,17,0.056666666666666664,1.0,0.19767441860465115,0.3300970873786408,0.0,0,17
risk_gated_urgency_x8,71.0,300,86,15,0.05,1.0,0.1744186046511628,0.297029702970297,0.0,0,15
risk_gated_urgency_x8,71.5,300,86,14,0.04666666666666667,1.0,0.16279069767441862,0.28,0.0,0,14
risk_gated_urgency_x8,72.0,300,86,13,0.043333333333333335,1.0,0.1511627906976744,0.26262626262626265,0.0,0,13
ungated_urgency_x8,20.0,300,86,170,0.5666666666666667,0.4588235294117647,0.9069767441860465,0.609375,0.42990654205607476,92,78
ungated_urgency_x8,20.5,300,86,169,0.5633333333333334,0.4556213017751479,0.8953488372093024,0.6039215686274509,0.42990654205607476,92,77
ungated_urgency_x8,21.0,300,86,168,0.56,0.4523809523809524,0.8837209302325582,0.5984251968503937,0.42990654205607476,92,76
ungated_urgency_x8,21.5,300,86,168,0.56,0.4523809523809524,0.8837209302325582,0.5984251968503937,0.42990654205607476,92,76
ungated_urgency_x8,22.0,300,86,163,0.5433333333333333,0.4662576687116564,0.8837209302325582,0.6104417670682731,0.40654205607476634,87,76
ungated_urgency_x8,22.5,300,86,157,0.5233333333333333,0.4840764331210191,0.8837209302325582,0.6255144032921811,0.37850467289719625,81,76
ungated_urgency_x8,23.0,300,86,148,0.49333333333333335,0.5135135135135135,0.8837209302325582,0.6495726495726496,0.3364485981308411,72,76
